;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7410 are extrapolated until 7438 (12:04:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Mar 14 10:54:17 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00024056 ;ratio_vir2PMO6V (f10.8)
0.99976416 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1681     3.7663     0.1385
    1684     3.7603     0.1473
    1687     4.1825     0.1573
    1690     3.8228     0.1357
    1693     3.8200     0.1122
    1696     3.8173     0.1315
    1699     3.8869     0.1495
    1702     3.8273     0.1343
    1705     3.8510     0.1300
    1708     3.7452     0.1004
    1711     3.7521     0.1094
    1714     3.7591     0.1184
    1717     3.8625     0.1482
    1720     3.8562     0.1418
    1723     3.8330     0.1076
    1726     3.7842     0.1037
    1729     3.7766     0.1277
    1732     3.7522     0.1228
    1735     3.8057     0.1038
    1738     3.7739     0.0911
    1741     3.8114     0.1073
    1744     3.7754     0.0626
    1747     3.8321     0.1278
    1750     3.7836     0.0695
    1753     3.7801     0.0322
    1756     3.7858     0.1246
    1759     3.8345     0.0836
    1762     3.7947     0.1224
    1765     3.7865     0.0575
    1768     3.7219     0.0455
    1771     3.7799     0.0519
    1774     3.8380     0.0583
    1777     3.6950    -0.0102
    1780     3.8454     0.0585
    1783     3.7494    -0.0016
    1786     3.8025     0.0408
    1789     3.7379     0.0486
    1792     3.8084    -0.0289
    1795     3.8788    -0.0168
    1798     3.8180    -0.0048
    1801     3.8045     0.0236
    1804     3.7910    -0.0357
    1807     3.8496    -0.0069
    1810     3.8702    -0.0177
    1813     3.9074    -0.0219
    1816     3.8988    -0.0113
    1819     3.8626    -0.0296
    1822     3.8465    -0.0154
    1825     3.8409    -0.0509
    1828     3.8353    -0.0864
    1831     3.8297    -0.0766
    1834     3.9244    -0.0246
    1837     3.9208    -0.0189
    1840     3.9375    -0.0169
    1843     3.9487    -0.0497
    1846     3.8939    -0.0352
    1849     3.8646    -0.0790
    1852     3.8796    -0.0844
    1855     3.8947    -0.0863
    1858     3.9469    -0.0547
    1861     3.8983    -0.0811
    1864     3.8496    -0.1076
    1867     3.8883    -0.1158
    1870     3.9026    -0.0871
    1873     3.9169    -0.1052
    1876     3.9509    -0.1232
    1879     3.9680    -0.0986
    1882     3.9153    -0.1551
    1885     3.8783    -0.1495
    1888     3.9661    -0.1436
    1891     3.9456    -0.1020
    1894     4.0043    -0.0968
    1897     3.9243    -0.1452
    1900     3.8953    -0.1638
    1903     3.9496    -0.1242
    1906     3.9375    -0.1071
    1909     3.9828    -0.0981
    1912     3.9361    -0.1228
    1915     3.9769    -0.1176
    1918     4.0811    -0.1042
    1921     4.0502    -0.0983
    1924     4.0193    -0.0924
    1927     4.0343    -0.0968
    1930     3.9917    -0.1096
    1933     3.9703    -0.1113
