;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7581 are extrapolated until 7609 (30:09:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Tue Aug 09 18:22:49 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00029612 ;ratio_vir2PMO6V (f10.8)
0.99970693 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1528     3.2592     0.0883
    1531     3.2623     0.0781
    1534     3.2654     0.0680
    1537     3.2859     0.0690
    1540     3.2796     0.0442
    1543     3.2804     0.0802
    1546     3.2813     0.0602
    1549     3.3269     0.0345
    1552     3.3608     0.0959
    1555     3.3047     0.0597
    1558     3.3534     0.0677
    1561     3.3420     0.0587
    1564     3.3306     0.0496
    1567     3.3564     0.0545
    1570     3.3546     0.0752
    1573     3.3697     0.1239
    1576     3.3848     0.0662
    1579     3.3953     0.0839
    1582     3.4222     0.0411
    1585     3.4490     0.0933
    1588     3.3839     0.0689
    1591     3.4337     0.0550
    1594     3.4835     0.0946
    1597     3.4015     0.0596
    1600     3.3528     0.1011
    1603     3.3704     0.0412
    1606     3.4237     0.0335
    1609     3.3893     0.0686
    1612     3.4116     0.0814
    1615     3.4755     0.0731
    1618     3.4777     0.0837
    1621     3.5168     0.1054
    1624     3.5558     0.1271
    1627     3.4731     0.0468
    1630     3.4393     0.0429
    1633     3.4807     0.1273
    1636     3.5222     0.0986
    1639     3.5412     0.1247
    1642     3.5643     0.0898
    1645     3.5255     0.0848
    1648     3.5187     0.0995
    1651     3.5398     0.1033
    1654     3.5610     0.1071
    1657     3.6637     0.1145
    1660     3.5232     0.1280
    1663     3.5811     0.0967
    1666     3.5945     0.0921
    1669     3.6408     0.1423
    1672     3.6109     0.1278
    1675     3.5810     0.0808
    1678     3.6363     0.0865
    1681     3.6179     0.1343
    1684     3.5996     0.1217
    1687     3.9302     0.0824
    1690     3.6910     0.1504
    1693     3.6592     0.0998
    1696     3.6275     0.1434
    1699     3.7372     0.1580
    1702     3.6435     0.1078
    1705     3.6855     0.1031
    1708     3.6114     0.0951
    1711     3.6385     0.1378
    1714     3.6656     0.1080
    1717     3.7257     0.1129
    1720     3.6709     0.0851
    1723     3.7009     0.0900
    1726     3.6965     0.0845
    1729     3.6468     0.0642
    1732     3.5639     0.0726
    1735     3.6552     0.0255
    1738     3.6485     0.0256
    1741     3.7222     0.1132
    1744     3.7286     0.0703
    1747     3.7058     0.0647
    1750     3.7136     0.0772
    1753     3.6690     0.0126
    1756     3.6603     0.0550
    1759     3.7972     0.1002
    1762     3.7593     0.1129
    1765     3.7213     0.0623
    1768     3.6549     0.0646
    1771     3.6834     0.0250
    1774     3.7118     0.0133
    1777     3.6882     0.0099
    1780     3.7515     0.0032
    1783     3.7425    -0.0076
    1786     3.7335     0.0537
    1789     3.7079     0.0301
    1792     3.7301     0.0024
    1795     3.7524    -0.0002
    1798     3.7987    -0.0029
    1801     3.7733    -0.0245
    1804     3.7479    -0.0461
    1807     3.8649     0.0280
    1810     3.8043    -0.0464
    1813     3.8552     0.0231
    1816     3.8092    -0.0846
    1819     3.7620    -0.0815
    1822     3.7365    -0.0345
    1825     3.7685    -0.0375
    1828     3.8004    -0.0405
    1831     3.8324    -0.0461
    1834     3.8643    -0.0517
    1837     3.8280    -0.0912
    1840     3.8569    -0.0410
    1843     3.8381    -0.0618
    1846     3.8192    -0.1076
    1849     3.7943    -0.1041
    1852     3.7970    -0.0847
    1855     3.7998    -0.1403
    1858     3.8651    -0.0738
    1861     3.8318    -0.1324
    1864     3.7986    -0.1130
    1867     3.8423    -0.1071
    1870     3.8990    -0.1057
    1873     3.9556    -0.1079
    1876     3.8184    -0.1100
    1879     3.9301    -0.1629
    1882     3.8497    -0.1888
    1885     3.8825    -0.1704
    1888     3.8986    -0.1647
    1891     3.8847    -0.1542
    1894     3.9024    -0.1438
    1897     3.8831    -0.1496
    1900     3.8797    -0.1349
    1903     3.8941    -0.1527
    1906     3.8706    -0.1604
    1909     3.9473    -0.1089
    1912     3.9489    -0.1176
    1915     3.9215    -0.1825
    1918     3.9947    -0.0921
    1921     3.9843    -0.0782
    1924     3.9738    -0.0642
    1927     3.9246    -0.1523
    1930     3.9097    -0.1001
    1933     3.9454    -0.1396
    1936     3.9811    -0.1622
    1939     4.0124    -0.0859
    1942     3.9676    -0.1233
    1945     3.9553    -0.1265
    1948     3.9930    -0.1019
    1951     3.9687    -0.1255
    1954     3.9443    -0.0886
    1957     4.0334    -0.0832
    1960     4.0046    -0.1217
    1963     4.0163    -0.1092
    1966     4.0280    -0.1065
    1969     4.0601    -0.0834
    1972     4.0613    -0.1031
    1975     4.0626    -0.0637
    1978     4.0644    -0.0486
    1981     4.0306    -0.0273
    1984     3.9968    -0.0367
    1987     4.0382    -0.1151
    1990     4.0700    -0.0109
    1993     4.0704     0.0143
    1996     4.0708    -0.0206
    1999     4.0027    -0.0678
    2002     4.0203     0.0074
    2005     4.0379    -0.0529
    2008     4.0439    -0.0358
    2011     4.0735    -0.0309
    2014     4.1031    -0.0410
    2017     4.1356     0.0345
    2020     4.1082     0.0160
    2023     4.1214    -0.0202
    2026     4.1345     0.0214
    2029     4.1135     0.0357
    2032     4.0687     0.0038
    2035     4.0992     0.0067
    2038     4.1486     0.0348
    2041     4.1334     0.0316
    2044     4.1181     0.0284
    2047     4.1605     0.0527
    2050     4.1711     0.0377
    2053     4.1098    -0.0205
    2056     4.1533    -0.0161
    2059     4.2016     0.0225
    2062     4.0808    -0.0265
    2065     4.2143     0.0234
    2068     4.2092     0.0103
    2071     4.2121    -0.0027
    2074     4.2151     0.0583
    2077     4.1007    -0.0462
    2080     4.1831     0.0140
    2083     4.1091    -0.0230
    2086     4.0996    -0.0740
    2089     4.2063    -0.0140
    2092     4.2047    -0.0350
    2095     4.2030    -0.0026
    2098     4.1297    -0.0713
    2101     4.0939    -0.0854
    2104     4.0581    -0.0995
    2107     4.1318    -0.0821
    2110     4.1920    -0.0152
    2113     4.1464    -0.1110
    2116     4.1453    -0.0941
    2119     4.1741    -0.0891
    2122     4.1799    -0.0744
    2125     4.1857    -0.0907
    2128     4.1581    -0.0907
    2131     4.1630    -0.1190
    2134     4.1862    -0.1474
    2137     4.1694    -0.1318
    2140     4.1786    -0.1262
    2143     4.1991    -0.1193
    2146     4.2739    -0.1708
    2149     4.2084    -0.1234
    2152     4.1790    -0.0729
    2155     4.1496    -0.1675
    2158     4.1611    -0.1572
    2161     4.1599    -0.1223
    2164     4.1586    -0.1380
    2167     4.0764    -0.1495
    2170     4.1916    -0.1608
    2173     4.2193    -0.1416
    2176     4.1760    -0.1711
    2179     4.1771    -0.1521
    2182     4.1895    -0.1314
    2185     4.2019    -0.1451
    2188     4.1939    -0.1450
    2191     4.2349    -0.1263
    2194     4.2759    -0.1071
    2197     4.2746    -0.1065
    2200     4.1851    -0.1647
    2203     4.3007    -0.0993
    2206     4.1980    -0.1248
    2209     4.2249    -0.1437
    2212     4.2830    -0.1284
    2215     4.2740    -0.1000
    2218     4.2828    -0.1075
    2221     4.2903    -0.1110
    2224     4.2978    -0.1146
    2227     4.1990    -0.1212
    2230     4.2538    -0.1365
    2233     4.2543    -0.0800
    2236     4.2518    -0.0868
    2239     4.2119    -0.1212
    2242     4.2832    -0.1367
    2245     4.2289    -0.1363
