;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7763 are extrapolated until 7789 (29:03:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sun Feb 05 17:01:55 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031745 ;ratio_vir2PMO6V (f10.8)
0.99968378 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1816     3.8262    -0.0648
    1819     3.7791    -0.0617
    1822     3.7537    -0.0146
    1825     3.7857    -0.0176
    1828     3.8177    -0.0205
    1831     3.8498    -0.0260
    1834     3.8818    -0.0315
    1837     3.8454    -0.0711
    1840     3.8745    -0.0209
    1843     3.8557    -0.0415
    1846     3.8369    -0.0873
    1849     3.8120    -0.0839
    1852     3.8148    -0.0644
    1855     3.8176    -0.1199
    1858     3.8829    -0.0534
    1861     3.8497    -0.1119
    1864     3.8165    -0.0925
    1867     3.8602    -0.0866
    1870     3.9170    -0.0851
    1873     3.9737    -0.0872
    1876     3.8364    -0.0892
    1879     3.9482    -0.1420
    1882     3.8678    -0.1681
    1885     3.9006    -0.1494
    1888     3.9167    -0.1437
    1891     3.9029    -0.1332
    1894     3.9206    -0.1227
    1897     3.9014    -0.1285
    1900     3.8981    -0.1138
    1903     3.9124    -0.1314
    1906     3.8889    -0.1391
    1909     3.9656    -0.0877
    1912     3.9672    -0.0964
    1915     3.9399    -0.1611
    1918     4.0132    -0.0706
    1921     4.0027    -0.0567
    1924     3.9923    -0.0427
    1927     3.9431    -0.1307
    1930     3.9281    -0.0783
    1933     3.9638    -0.1179
    1936     3.9995    -0.1404
    1939     4.0309    -0.0640
    1942     3.9860    -0.1015
