;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960814 1360.47566 1365.55481 1365.93567 1365.17395
19960815 1360.41534 1365.49426 1365.87549 1365.11304
19960816 1360.41193 1365.49084 1365.85608 1365.12573
19960817 1360.44149 1365.52051 1365.89832 1365.14258
19960818 1360.44599 1365.52502 1365.89941 1365.14636
19960819 1360.43468 1365.51367 1365.88110 1365.14624
19960820 1360.44258 1365.52161 1365.88770 1365.15564
19960821 1360.43480 1365.51379 1365.87769 1365.14990
19960822 1360.45851 1365.53760 1365.89600 1365.17920
19960823 1360.52564 1365.60498 1365.94910 1365.25720
19960824 1360.61844 1365.69812 1366.06714 1365.32898
19960825 1360.72680 1365.80688 1366.18201 1365.43188
19960826 1360.75501 1365.83521 1366.20605 1365.46423
19960827 1360.71281 1365.79285 1366.16858 1365.41736
19960828 1360.68739 1365.76733 1366.12000 1365.41467
19960829 1360.63948 1365.71924 1366.09729 1365.34143
19960830 1360.66623 1365.74609 1366.12866 1365.36377
19960831 1360.71074 1365.79077 1366.15454 1365.42700
19960901 1360.73969 1365.81982 1366.19519 1365.44470
19960902 1360.76742 1365.84766 1366.19592 1365.49609
19960903 1360.72777 1365.80786 1366.15771 1365.45789
19960904 1360.63048 1365.71021 1366.05847 1365.36157
19960905 1360.54936 1365.62878 1365.98706 1365.27039
19960906 1360.48417 1365.56335 1365.94165 1365.18530
19960907 1360.50619 1365.58545 1365.95776 1365.20935
19960908 1360.52139 1365.60071 1365.95581 1365.24548
19960909 1360.52820 1365.60754 1365.97742 1365.23792
19960910  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000
19960913  -99.00000  -99.00000  -99.00000  -99.00000
19960914 1360.48661 1365.56580  -99.00000 1365.21008
19960915 1360.46970 1365.54883  -99.00000 1365.19250
19960916 1360.41510 1365.49402  -99.00000 1365.13770
19960917 1360.53148 1365.61084 1365.97131 1365.27258
19960918 1360.55447 1365.63391 1365.98645 1365.28125
19960919 1360.55739 1365.63684 1366.00684 1365.26685
19960920 1360.59825 1365.67786 1366.05212 1365.30396
19960921 1360.68873 1365.76868 1366.11926 1365.41809
19960922 1360.70722 1365.78723 1366.14795 1365.42358
19960923 1360.73945 1365.81958 1366.18066 1365.45862
19960924 1360.70004 1365.78003 1366.13562 1365.42444
19960925 1360.71524 1365.79529 1366.13000 1365.46021
19960926 1360.70406 1365.78406 1366.10925 1365.45850
19960927 1360.66940 1365.74927 1366.10779 1365.39441
19960928 1360.69250 1365.77246 1366.11963 1365.42480
19960929 1360.68095 1365.76086 1366.09717 1365.42639
19960930 1360.65930 1365.73914 1366.07520 1365.41321
19961001 1360.59290 1365.67249 1366.00330 1365.34131
19961002 1360.49488 1365.57410 1365.92517 1365.21753
19961003 1360.48478 1365.56396 1365.90051 1365.22705
19961004 1360.52954 1365.60889 1365.90540 1365.31116
19961005 1360.48247 1365.56165 1365.87366 1365.24878
19961006 1360.44088 1365.51990 1365.87012 1365.16956
19961007 1360.43504 1365.51404 1365.85425 1365.16821
19961008 1360.44915 1365.52820 1365.85706 1365.19873
19961009 1360.47067 1365.54980 1365.86267 1365.23596
19961010 1360.46934 1365.54846 1365.87183 1365.22424
19961011 1360.44003 1365.51904 1365.85730 1365.18042
19961012 1360.44550 1365.52454 1365.87061 1365.17444
19961013 1360.43492 1365.51392 1365.84802 1365.17908
19961014 1360.47335 1365.55249 1365.88867 1365.21570
19961015 1360.49329 1365.57251 1365.89465 1365.24902
19961016 1360.49621 1365.57544 1365.89941 1365.25012
19961017 1360.57782 1365.65735 1365.95850 1365.35120
19961018 1360.63850 1365.71826 1366.03906 1365.40955
19961019 1360.63632 1365.71606 1366.05554 1365.37585
19961020 1360.62586 1365.70557 1366.07227 1365.33997
19961021 1360.63315 1365.71289 1366.08081 1365.34619
19961022 1360.66660 1365.74646 1366.09619 1365.39575
19961023 1360.64021 1365.71997 1366.09570 1365.34656
19961024 1360.69214 1365.77209 1366.11914 1365.42505
19961025 1360.63644 1365.71619 1366.10266 1365.33362
19961026 1360.62659 1365.70630 1366.05286 1365.35962
19961027 1360.62671 1365.70642 1366.05676 1365.35205
19961028 1360.57782 1365.65735 1366.01038 1365.31226
19961029 1360.55447 1365.63391 1365.96753 1365.29846
19961030 1360.48271 1365.56189 1365.92029 1365.20508
19961031 1360.46569 1365.54480 1365.89661 1365.19360
19961101 1360.50315 1365.58240 1365.91565 1365.24292
19961102 1360.48454 1365.56372 1365.92285 1365.20642
19961103 1360.48734 1365.56653 1365.91052 1365.22217
19961104 1360.46994 1365.54907 1365.90967 1365.19067
19961105 1360.48138 1365.56055 1365.90540 1365.21545
19961106 1360.49731 1365.57654 1365.94678 1365.20935
19961107 1360.52796 1365.60730 1365.95105 1365.26318
19961108 1360.49852 1365.57776 1365.94360 1365.21497
19961109 1360.49804 1365.57727 1365.94031 1365.21362
19961110 1360.52686 1365.60620 1365.97473 1365.23987
19961111 1360.58779 1365.66736 1366.00562 1365.32874
19961112 1360.59801 1365.67761 1366.04309 1365.31519
19961113 1360.64994 1365.72974 1366.05444 1365.42444
19961114 1360.68666 1365.76660 1366.12854 1365.40698
19961115 1360.71768 1365.79773 1366.15710 1365.44031
19961116 1360.76790 1365.84814 1366.17456 1365.51648
19961117 1360.77131 1365.85156 1366.20569 1365.49707
19961118 1360.73835 1365.81848 1366.19165 1365.44910
19961119 1360.74285 1365.82300 1366.19263 1365.45667
19961120 1360.73276 1365.81287 1366.17102 1365.45605
19961121 1360.72716 1365.80725 1366.17700 1365.43359
19961122 1360.65018 1365.72998 1366.09094 1365.37549
19961123 1360.34699 1365.42566 1365.76819 1365.07825
19961124 1360.03091 1365.10840 1365.45007 1364.76563
19961125 1359.63176 1364.70776 1365.07214 1364.34558
19961126 1359.66874 1364.74487 1365.09253 1364.39929
19961127 1359.75922 1364.83569 1365.18896 1364.48279
