;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19970113 1360.70637 1365.78638 1366.13806 1365.43372
19970114 1360.75076 1365.83093 1366.16101 1365.49744
19970115 1360.72266 1365.80273 1366.11975 1365.47119
19970116 1360.70430 1365.78430 1366.15198 1365.41724
19970117 1360.75319 1365.83337 1366.15918 1365.50378
19970118 1360.69116 1365.77112 1366.11951 1365.42114
19970119 1360.66915 1365.74902 1366.10486 1365.39233
19970120 1360.67219 1365.75208 1366.07971 1365.41663
19970121 1360.65091 1365.73071 1366.12439 1365.34033
19970122 1360.61005 1365.68970 1366.06445 1365.31616
19970123 1360.61211 1365.69177 1366.08008 1365.30615
19970124 1360.64568 1365.72546 1366.10315 1365.34900
19970125 1360.64507 1365.72485 1366.07996 1365.36609
19970126 1360.59059 1365.67017 1366.05994 1365.28271
19970127 1360.57162 1365.65112 1366.03284 1365.27087
19970128 1360.61442 1365.69409 1366.06958 1365.31921
19970129 1360.60007 1365.67969 1366.06458 1365.29651
19970130 1360.61819 1365.69788 1366.07227 1365.32422
19970131 1360.64896 1365.72876 1366.09521 1365.36182
19970201 1360.64519 1365.72498 1366.10693 1365.34412
19970202 1360.62476 1365.70447 1366.07605 1365.33289
19970203 1360.49536 1365.57458 1365.96106 1365.18958
19970204 1360.57697 1365.65649 1366.03857 1365.28076
19970205 1360.70479 1365.78479 1366.16431 1365.40601
19970206 1360.75428 1365.83447 1366.20569 1365.46301
19970207 1360.74309 1365.82324 1366.21216 1365.43591
19970208 1360.71233 1365.79236 1366.17932 1365.40662
19970209 1360.73130 1365.81140 1366.17468 1365.44470
19970210 1360.70649 1365.78650 1366.15393 1365.41846
19970211 1360.68910 1365.76904 1366.12915 1365.40735
19970212 1360.67134 1365.75122 1366.12329 1365.37891
19970213 1360.64033 1365.72009 1366.10583 1365.33533
19970214 1360.62452 1365.70422 1366.08838 1365.31506
19970215 1360.62075 1365.70044 1366.06873 1365.33130
19970216 1360.64690 1365.72668 1366.07971 1365.37134
19970217 1360.61479 1365.69446 1366.07690 1365.31238
19970218 1360.62902 1365.70874 1366.09070 1365.32703
19970219 1360.62136 1365.70105 1366.08020 1365.32178
19970220 1360.60068 1365.68030 1366.06433 1365.29675
19970221 1360.58961 1365.66919 1366.06042 1365.27905
19970222 1360.57551 1365.65503 1366.06616 1365.24670
19970223 1360.59886 1365.67847 1366.07886 1365.27979
19970224 1360.66076 1365.74060 1366.11108 1365.36633
19970225 1360.69226 1365.77222 1366.15063 1365.39343
19970226 1360.71731 1365.79736 1366.17236 1365.42358
19970227 1360.71877 1365.79883 1366.17407 1365.42310
19970228 1360.68058 1365.76050 1366.15955 1365.36218
19970301 1360.76024 1365.84045 1366.16821 1365.52698
19970302 1360.71743 1365.79749 1366.16736 1365.44946
19970303 1360.73397 1365.81409 1366.19519 1365.43274
19970304 1360.72254 1365.80261 1366.19678 1365.40857
19970305 1360.73945 1365.81958 1366.22595 1365.41370
19970306 1360.70941 1365.78943 1366.17700 1365.40259
19970307 1360.73276 1365.81287 1366.19861 1365.42700
19970308 1360.74747 1365.82764 1366.24585 1365.41003
19970309 1360.75185 1365.83203 1366.23438 1365.42981
19970310 1360.72546 1365.80554 1366.18518 1365.42590
19970311 1360.71610 1365.79614 1366.17700 1365.41492
19970312 1360.68484 1365.76477 1366.17334 1365.35608
19970313 1360.72582 1365.80591 1366.18420 1365.42773
19970314 1360.68800 1365.76794 1366.15125 1365.38464
19970315 1360.71634 1365.79639 1366.17310 1365.41992
19970316 1360.73251 1365.81262 1366.19141 1365.43396
19970317 1360.71123 1365.79126 1366.17920 1365.40344
