;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19970129 1360.53056 1365.70212 1366.08490 1365.32111
19970130 1360.55329 1365.72494 1366.09567 1365.35548
19970131 1360.58059 1365.75235 1366.11788 1365.38640
19970201 1360.57962 1365.75137 1366.13064 1365.37321
19970202 1360.54950 1365.72114 1366.09109 1365.35117
19970203 1360.42956 1365.60074 1365.98503 1365.21800
19970204 1360.51186 1365.68336 1366.06428 1365.30895
19970205 1360.64437 1365.81637 1366.19256 1365.44073
19970206 1360.68277 1365.85491 1366.22570 1365.48407
19970207 1360.67365 1365.84576 1366.23384 1365.45950
19970208 1360.64416 1365.81616 1366.20022 1365.43344
19970209 1360.66467 1365.83675 1366.19683 1365.47288
19970210 1360.63816 1365.81013 1366.17622 1365.44328
19970211 1360.62237 1365.79428 1366.15286 1365.43402
19970212 1360.60012 1365.77195 1366.14281 1365.40071
19970213 1360.57263 1365.74435 1366.12906 1365.36074
19970214 1360.55509 1365.72674 1366.10941 1365.33837
19970215 1360.55323 1365.72488 1366.09074 1365.35793
19970216 1360.57548 1365.74721 1366.09937 1365.39243
19970217 1360.55068 1365.72232 1366.10328 1365.34187
19970218 1360.55978 1365.73145 1366.11282 1365.35059
19970219 1360.55504 1365.72670 1366.10446 1365.34892
19970220 1360.52887 1365.70043 1366.08221 1365.31912
19970221 1360.52610 1365.69765 1366.08926 1365.30743
19970222 1360.50182 1365.67327 1366.08612 1365.26382
19970223 1360.53653 1365.70811 1366.10434 1365.31351
19970224 1360.59412 1365.76592 1366.13639 1365.39192
19970225 1360.62514 1365.79706 1366.17197 1365.42167
19970226 1360.65366 1365.82569 1366.19963 1365.45343
19970227 1360.64856 1365.82057 1366.19583 1365.44475
19970228 1360.61100 1365.78287 1366.18110 1365.38563
19970301 1360.69466 1365.86684 1366.19292 1365.55509
19970302 1360.64943 1365.82144 1366.19128 1365.47293
19970303 1360.66395 1365.83601 1366.21812 1365.45375
19970304 1360.65466 1365.82670 1366.21938 1365.43432
19970305 1360.67013 1365.84222 1366.24920 1365.43602
19970306 1360.64303 1365.81502 1366.19937 1365.43137
19970307 1360.66542 1365.83749 1366.22536 1365.44963
19970308 1360.68264 1365.85478 1366.27047 1365.43963
19970309 1360.68169 1365.85382 1366.25578 1365.45203
19970310 1360.65693 1365.82898 1366.20851 1365.44940
19970311 1360.64837 1365.82038 1366.20077 1365.43961
19970312 1360.61573 1365.78761 1366.19517 1365.37988
19970313 1360.65903 1365.83108 1366.20840 1365.45395
19970314 1360.61939 1365.79129 1366.17474 1365.40793
19970315 1360.65202 1365.82405 1366.20104 1365.44729
19970316 1360.66152 1365.83358 1366.21306 1365.45405
19970317 1360.64432 1365.81631 1366.20365 1365.42899
19970318 1360.60150 1365.77333 1366.15507 1365.39174
19970319 1360.49175 1365.66316 1366.05116 1365.27517
19970320 1360.46757 1365.63889 1366.03585 1365.24174
19970321 1360.47943 1365.65080 1366.04150 1365.26054
19970322 1360.47675 1365.64811 1366.04795 1365.24802
19970323 1360.50445 1365.67591 1366.07919 1365.27231
19970324 1360.51058 1365.68207 1366.08324 1365.28063
19970325 1360.53492 1365.70650 1366.09686 1365.31613
19970326 1360.52109 1365.69262 1366.08910 1365.29663
19970327 1360.57762 1365.74936 1366.13515 1365.36364
19970328 1360.64075 1365.81273 1366.17490 1365.45112
19970329 1360.60487 1365.77671 1366.15155 1365.40217
19970330 1360.55670 1365.72837 1366.11904 1365.33766
19970331 1360.54940 1365.72103 1366.10195 1365.34521
19970401 1360.56066 1365.73234 1366.11474 1365.35055
19970402 1360.53304 1365.70461 1366.09620 1365.31297
19970403 1360.63264 1365.80459 1366.19080 1365.41672
19970404 1360.71096 1365.88320 1366.29244 1365.47362
19970405 1360.76421 1365.93666 1366.33906 1365.53212
19970406 1360.77089 1365.94336 1366.35457 1365.53179
