;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7514 are extrapolated until 7540 (23:07:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Wed Jun 08 15:29:16 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00030888 ;ratio_vir2PMO6V (f10.8)
0.99969307 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1423     2.9226     0.0946
    1426     3.0731     0.1726
    1429     3.0585     0.1478
    1432     2.9719     0.1389
    1435     3.0584     0.1609
    1438     3.0480     0.1887
    1441     3.0383     0.1505
    1444     3.0286     0.1124
    1447     3.0602     0.1333
    1450     3.1242     0.1783
    1453     3.1369     0.1918
    1456     3.1194     0.1212
    1459     3.1063        NaN
    1462     3.0933        NaN
    1465     3.0803        NaN
    1468     3.1400        NaN
    1471     3.0930        NaN
    1474     3.0460        NaN
    1477     3.1419        NaN
    1480     3.1201        NaN
    1483     3.1304        NaN
    1486     3.2508        NaN
    1489     3.1472        NaN
    1492     3.2322        NaN
    1495     3.2638     0.1734
    1498     3.2763     0.1217
    1501     3.2889     0.0700
    1504     3.3015     0.1623
    1507     3.2387     0.0764
    1510     3.1942     0.0965
    1513     3.1944     0.0778
    1516     3.2356     0.0628
    1519     3.2905     0.1228
    1522     3.1871     0.1061
    1525     3.3150     0.1103
    1528     3.2646     0.0941
    1531     3.2676     0.0840
    1534     3.2707     0.0739
    1537     3.2912     0.0749
    1540     3.2848     0.0500
    1543     3.2857     0.0860
    1546     3.2866     0.0662
    1549     3.3323     0.0406
    1552     3.3661     0.1020
    1555     3.3101     0.0658
    1558     3.3588     0.0738
    1561     3.3474     0.0648
    1564     3.3360     0.0557
    1567     3.3618     0.0607
    1570     3.3600     0.0814
    1573     3.3751     0.1301
    1576     3.3902     0.0724
    1579     3.4007     0.0901
    1582     3.4276     0.0475
    1585     3.4545     0.0996
    1588     3.3892     0.0752
    1591     3.4390     0.0615
    1594     3.4888     0.1011
    1597     3.4070     0.0661
    1600     3.3582     0.1076
    1603     3.3758     0.0478
    1606     3.4292     0.0399
    1609     3.3948     0.0752
    1612     3.4171     0.0880
    1615     3.4810     0.0797
    1618     3.4832     0.0903
    1621     3.5223     0.1120
    1624     3.5613     0.1337
    1627     3.4786     0.0535
    1630     3.4448     0.0497
    1633     3.4862     0.1341
    1636     3.5277     0.1053
    1639     3.5467     0.1315
    1642     3.5698     0.0967
    1645     3.5310     0.0916
    1648     3.5243     0.1065
    1651     3.5454     0.1103
    1654     3.5665     0.1140
    1657     3.6693     0.1215
    1660     3.5288     0.1350
    1663     3.5868     0.1037
    1666     3.6001     0.0991
    1669     3.6464     0.1493
    1672     3.6166     0.1349
    1675     3.5867     0.0879
    1678     3.6420     0.0936
    1681     3.6237     0.1415
    1684     3.6053     0.1289
    1687     3.9360     0.0896
    1690     3.6967     0.1576
    1693     3.6650     0.1071
    1696     3.6333     0.1507
    1699     3.7431     0.1653
    1702     3.6494     0.1151
    1705     3.6914     0.1105
    1708     3.6174     0.1025
    1711     3.6445     0.1452
    1714     3.6715     0.1155
    1717     3.7318     0.1203
    1720     3.6770     0.0927
    1723     3.7071     0.0975
    1726     3.7026     0.0921
    1729     3.6530     0.0718
    1732     3.5701     0.0803
    1735     3.6615     0.0330
    1738     3.6548     0.0333
    1741     3.7285     0.1209
    1744     3.7349     0.0780
    1747     3.7121     0.0724
    1750     3.7201     0.0849
    1753     3.6755     0.0204
    1756     3.6668     0.0628
    1759     3.8038     0.1080
    1762     3.7659     0.1207
    1765     3.7279     0.0702
    1768     3.6615     0.0725
    1771     3.6900     0.0330
    1774     3.7185     0.0213
    1777     3.6950     0.0178
    1780     3.7584     0.0111
    1783     3.7494     0.0004
    1786     3.7404     0.0618
    1789     3.7147     0.0382
    1792     3.7370     0.0106
    1795     3.7594     0.0079
    1798     3.8057     0.0053
    1801     3.7803    -0.0163
    1804     3.7550    -0.0379
    1807     3.8721     0.0363
    1810     3.8114    -0.0381
    1813     3.8623     0.0314
    1816     3.8164    -0.0763
    1819     3.7692    -0.0732
    1822     3.7437    -0.0262
    1825     3.7757    -0.0292
    1828     3.8077    -0.0321
    1831     3.8397    -0.0376
    1834     3.8716    -0.0431
    1837     3.8353    -0.0827
    1840     3.8644    -0.0325
    1843     3.8456    -0.0532
    1846     3.8268    -0.0990
    1849     3.8018    -0.0956
    1852     3.8045    -0.0761
    1855     3.8073    -0.1317
    1858     3.8727    -0.0651
    1861     3.8395    -0.1237
    1864     3.8062    -0.1043
    1867     3.8500    -0.0985
    1870     3.9066    -0.0969
    1873     3.9633    -0.0991
    1876     3.8260    -0.1012
    1879     3.9377    -0.1540
    1882     3.8574    -0.1800
    1885     3.8902    -0.1615
    1888     3.9063    -0.1557
    1891     3.8925    -0.1453
    1894     3.9101    -0.1348
    1897     3.8909    -0.1407
    1900     3.8874    -0.1259
    1903     3.9019    -0.1436
    1906     3.8784    -0.1513
    1909     3.9551    -0.0999
    1912     3.9566    -0.1086
    1915     3.9293    -0.1733
    1918     4.0026    -0.0830
    1921     3.9921    -0.0690
    1924     3.9817    -0.0550
    1927     3.9326    -0.1431
    1930     3.9175    -0.0908
    1933     3.9532    -0.1304
    1936     3.9889    -0.1529
    1939     4.0204    -0.0765
    1942     3.9755    -0.1139
    1945     3.9631    -0.1171
    1948     4.0010    -0.0925
    1951     3.9765    -0.1161
    1954     3.9521    -0.0791
