;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7994 are extrapolated until 8020 (15:11:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sat Sep 30 09:30:10 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00036420 ;ratio_vir2PMO6V (f10.8)
0.99963534 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1531     3.3107     0.1408
    1534     3.3138     0.1310
    1537     3.3341     0.1341
    1540     3.3276     0.1108
    1543     3.3284     0.1479
    1546     3.3291     0.1285
    1549     3.3747     0.1030
    1552     3.4083     0.1639
    1555     3.3521     0.1267
    1558     3.4007     0.1331
    1561     3.3891     0.1224
    1564     3.3776     0.1116
    1567     3.4033     0.1157
    1570     3.4013     0.1354
    1573     3.4162     0.1828
    1576     3.4311     0.1242
    1579     3.4415     0.1410
    1582     3.4682     0.0983
    1585     3.4949     0.1510
    1588     3.4295     0.1283
    1591     3.4791     0.1172
    1594     3.5287     0.1565
    1597     3.4466     0.1203
    1600     3.3979     0.1615
    1603     3.4152     0.1022
    1606     3.4684     0.0954
    1609     3.4337     0.1318
    1612     3.4559     0.1457
    1615     3.5198     0.1382
    1618     3.5218     0.1490
    1621     3.5607     0.1713
    1624     3.5996     0.1936
    1627     3.5167     0.1157
    1630     3.4827     0.1131
    1633     3.5241     0.1979
    1636     3.5655     0.1689
    1639     3.5844     0.1942
    1642     3.6076     0.1578
    1645     3.5686     0.1510
    1648     3.5618     0.1638
    1651     3.5828     0.1655
    1654     3.6038     0.1672
    1657     3.7066     0.1727
    1660     3.5662     0.1847
    1663     3.6240     0.1521
    1666     3.6373     0.1469
    1669     3.6836     0.1971
    1672     3.6538     0.1836
    1675     3.6239     0.1384
    1678     3.6794     0.1469
    1681     3.6611     0.1987
    1684     3.6428     0.1881
    1687     3.9734     0.1504
    1690     3.7343     0.2211
    1693     3.7027     0.1739
    1696     3.6712     0.2216
    1699     3.7811     0.2405
    1702     3.6873     0.1952
    1705     3.7296     0.1949
    1708     3.6557     0.1915
    1711     3.6830     0.2382
    1714     3.7102     0.2117
    1717     3.7706     0.2191
    1720     3.7159     0.1929
    1723     3.7463     0.1979
    1726     3.7420     0.1913
    1729     3.6925     0.1680
    1732     3.6098     0.1718
    1735     3.7015     0.1178
    1738     3.6949     0.1090
    1741     3.7689     0.1849
    1744     3.7756     0.1384
    1747     3.7529     0.1317
    1750     3.7611     0.1414
    1753     3.7168     0.0734
    1756     3.7082     0.1121
    1759     3.8454     0.1546
    1762     3.8078     0.1659
    1765     3.7702     0.1161
    1768     3.7040     0.1224
    1771     3.7327     0.0903
    1774     3.7615     0.0770
    1777     3.7383     0.0695
    1780     3.8018     0.0622
    1783     3.7931     0.0530
    1786     3.7843     0.1173
    1789     3.7590     0.0974
    1792     3.7816     0.0732
    1795     3.8042     0.0719
    1798     3.8507     0.0706
    1801     3.8256     0.0501
    1804     3.8004     0.0296
    1807     3.9176     0.1096
    1810     3.8573     0.0382
    1813     3.9085     0.1083
    1816     3.8625    -0.0006
    1819     3.8156    -0.0001
    1822     3.7903     0.0437
    1825     3.8224     0.0377
    1828     3.8545     0.0317
    1831     3.8867     0.0224
    1834     3.9188     0.0131
    1837     3.8825    -0.0332
    1840     3.9117     0.0121
    1843     3.8930    -0.0116
    1846     3.8743    -0.0587
    1849     3.8494    -0.0548
    1852     3.8522    -0.0331
    1855     3.8549    -0.0848
    1858     3.9203    -0.0128
    1861     3.8871    -0.0642
    1864     3.8539    -0.0408
    1867     3.8976    -0.0323
    1870     3.9543    -0.0273
    1873     4.0109    -0.0261
    1876     3.8736    -0.0249
    1879     3.9854    -0.0756
    1882     3.9050    -0.1010
    1885     3.9378    -0.0840
    1888     3.9538    -0.0823
    1891     3.9400    -0.0733
    1894     3.9575    -0.0642
    1897     3.9383    -0.0619
    1900     3.9348    -0.0422
    1903     3.9490    -0.0578
    1906     3.9254    -0.0658
    1909     4.0021    -0.0164
    1912     4.0036    -0.0287
    1915     3.9761    -0.0980
    1918     4.0493    -0.0127
    1921     4.0387    -0.0069
    1924     4.0282    -0.0012
    1927     3.9790    -0.1024
    1930     3.9639    -0.0614
    1933     3.9994    -0.1100
    1936     4.0349    -0.1385
    1939     4.0663    -0.0643
    1942     4.0212    -0.0992
    1945     4.0087    -0.0946
    1948     4.0464    -0.0563
    1951     4.0219    -0.0597
    1954     3.9974    -0.0182
    1957     4.0864    -0.0119
    1960     4.0575    -0.0452
    1963     4.0690    -0.0249
    1966     4.0806    -0.0135
    1969     4.1125     0.0169
    1972     4.1136     0.0018
    1975     4.1147     0.0408
    1978     4.1166     0.0486
    1981     4.0826     0.0542
    1984     4.0487     0.0503
    1987     4.0900    -0.0169
    1990     4.1217     0.0908
    1993     4.1221     0.1136
    1996     4.1224     0.0723
    1999     4.0542     0.0171
    2002     4.0718     0.0840
    2005     4.0894     0.0176
    2008     4.0953     0.0325
    2011     4.1249     0.0411
    2014     4.1544     0.0208
    2017     4.1868     0.0831
    2020     4.1595     0.0578
    2023     4.1726     0.0202
    2026     4.1857     0.0645
    2029     4.1647     0.0843
    2032     4.1200     0.0596
    2035     4.1505     0.0700
    2038     4.2000     0.1047
    2041     4.1848     0.1113
    2044     4.1696     0.1179
    2047     4.2120     0.1595
    2050     4.2227     0.1586
    2053     4.1614     0.1116
    2056     4.2052     0.1241
    2059     4.2536     0.1684
    2062     4.1329     0.1228
    2065     4.2664     0.1739
    2068     4.2615     0.1592
    2071     4.2646     0.1446
    2074     4.2676     0.2017
    2077     4.1534     0.0921
    2080     4.2359     0.1460
    2083     4.1622     0.1022
    2086     4.1528     0.0435
    2089     4.2598     0.0956
    2092     4.2582     0.0666
    2095     4.2567     0.0911
    2098     4.1837     0.0147
    2101     4.1480    -0.0062
    2104     4.1123    -0.0271
    2107     4.1861    -0.0152
    2110     4.2465     0.0471
    2113     4.2010    -0.0519
    2116     4.2001    -0.0370
    2119     4.2289    -0.0322
    2122     4.2349    -0.0162
    2125     4.2408    -0.0290
    2128     4.2134    -0.0236
    2131     4.2185    -0.0485
    2134     4.2419    -0.0733
    2137     4.2252    -0.0609
    2140     4.2346    -0.0568
    2143     4.2551    -0.0500
    2146     4.3301    -0.1005
    2149     4.2648    -0.0513
    2152     4.2355     0.0012
    2155     4.2062    -0.0914
    2158     4.2179    -0.0797
    2161     4.2168    -0.0441
    2164     4.2156    -0.0545
    2167     4.1336    -0.0595
    2170     4.2490    -0.0666
    2173     4.2767    -0.0461
    2176     4.2337    -0.0772
    2179     4.2348    -0.0639
    2182     4.2474    -0.0520
    2185     4.2600    -0.0650
    2188     4.2519    -0.0658
    2191     4.2930    -0.0476
    2194     4.3342    -0.0362
    2197     4.3330    -0.0448
    2200     4.2435    -0.1090
    2203     4.3592    -0.0467
    2206     4.2565    -0.0727
