 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
20010721 172920 1366.11033 1366.55573 1365.66494 1366.96362 1366.09758
20010721 182920 1366.15954 1366.59282 1365.72626 1367.00072 1366.15887
20010721 192920 1366.15507 1366.58211 1365.72803 1366.99001 1366.16060
20010721 202920 1366.15715 1366.57961 1365.73469 1366.98750 1366.16722
20010721 212920 1366.12041 1366.54695 1365.69388 1366.95485 1366.12636
20010721 222920 1366.12470 1366.54969 1365.69971 1366.95759 1366.13216
20010721 232920 1366.11788 1366.54643 1365.68934 1366.95433 1366.12174
20010722 002920 1366.10851 1366.54432 1365.67270 1366.95223 1366.10506
20010722 012920 1366.16328 1366.60361 1365.72294 1367.01152 1366.15526
20010722 022920 1366.14530 1366.57195 1365.71864 1366.97987 1366.15093
20010722 032920 1366.09356 1366.53384 1365.65328 1366.94176 1366.08552
20010722 042920 1366.04706 1366.50948 1365.58463 1366.91740 1366.01683
20010722 052920 1366.07667 1366.54236 1365.61099 1366.95028 1366.04315
20010722 062920 1366.05443 1366.51187 1365.59700 1366.91979 1366.02912
20010722 072920 1366.05611 1366.50321 1365.60901 1366.91113 1366.04109
20010722 082920 1366.07453 1366.52105 1365.62800 1366.92898 1366.06004
20010722 092920 1366.08851 1366.51999 1365.65702 1366.92792 1366.08901
20010722 102920 1366.11112 1366.53563 1365.68661 1366.94356 1366.11856
20010722 112920 1366.10265 1366.54932 1365.65597 1366.95726 1366.08788
20010722 122920 1366.04876 1366.48016 1365.61735 1366.88810 1366.04922
20010722 132920 1366.08912 1366.51755 1365.66069 1366.92549 1366.09251
20010722 142920 1366.06993 1366.48835 1365.65152 1366.89629 1366.08330
20010722 152920 1366.07934 1366.49104 1365.66765 1366.89898 1366.09939
20010722 162920 1366.10248 1366.51043 1365.69452 1366.91837 1366.12622
20010722 172920 1366.11916 1366.52617 1365.71215 1366.93412 1366.14380
20010722 182920 1366.13171 1366.53921 1365.72421 1366.94716 1366.15582
20010722 192920 1366.10116 1366.49995 1365.70236 1366.90790 1366.13393
20010722 202920 1366.12755 1366.53934 1365.71577 1366.94730 1366.14729
20010722 212920 1366.11274 1366.51953 1365.70595 1366.92749 1366.13743
20010722 222920 1366.13311 1366.53112 1365.73510 1366.93908 1366.16653
20010722 232920 1366.10655 1366.49120 1365.72191 1366.89916 1366.15330
20010723 002920 1366.16965  -99.00000 1365.71695  -99.00000 1366.14830
20010723 012920 1366.17069  -99.00000 1365.71798  -99.00000 1366.14930
20010723 022920 1366.19054  -99.00000 1365.73781  -99.00000 1366.16910
20010723 032920 1366.20163  -99.00000 1365.74888  -99.00000 1366.18013
20010723 042920 1366.22896  -99.00000 1365.77619  -99.00000 1366.20740
20010723 052920 1366.17732  -99.00000 1365.72455  -99.00000 1366.15573
20010723 062920 1366.16865 1366.58945 1365.74784 1366.99743 1366.17899
20010723 072920 1366.15061 1366.57429 1365.72693 1366.98228 1366.15805
20010723 082920 1366.15396 1366.58091 1365.72701 1366.98889 1366.15809
20010723 092920 1366.13442 1366.56974 1365.69911 1366.97773 1366.13015
20010723 102920 1366.11634 1366.55227 1365.68041 1366.96026 1366.11142
20010723 112920 1366.13201 1366.58046 1365.68355 1366.98845 1366.11453
20010723 122920 1366.14845 1366.60530 1365.69160 1367.01329 1366.12255
20010723 132920 1366.11114 1366.57279 1365.64948 1366.98079 1366.08040
20010723 142920 1366.12054 1366.58048 1365.66059 1366.98848 1366.09147
20010723 152920 1366.14371 1366.59907 1365.68835 1367.00707 1366.11919
20010723 162920 1366.18429 1366.62796 1365.74063 1367.03597 1366.17144
20010723 172920 1366.13576 1366.58185 1365.68966 1366.98986 1366.12044
20010723 182920 1366.11054 1366.56319 1365.65789 1366.97120 1366.08864
20010723 192920 1366.11282 1366.55068 1365.67495 1366.95870 1366.10567
20010723 202920 1366.09501 1366.54082 1365.64919 1366.94884 1366.07987
20010723 212920 1366.09595 1366.55517 1365.63673 1366.96319 1366.06738
20010723 222920 1366.06690 1366.50516 1365.62865 1366.91318 1366.05927
20010723 232920 1366.15612 1366.61085 1365.70140 1367.01887 1366.13198
20010724 002920 1366.12080 1366.55086 1365.69074 1366.95889 1366.12130
20010724 012920 1366.13881 1366.59198  -99.00000 1367.00001  -99.00000
20010724 022920 1366.07122 1366.52437  -99.00000 1366.93240  -99.00000
20010724 032920 1366.08234 1366.53551  -99.00000 1366.94355  -99.00000
20010724 042920 1366.09472 1366.54790  -99.00000 1366.95594  -99.00000
20010724 052920 1366.12839 1366.58159  -99.00000 1366.98963  -99.00000
20010724 062920 1366.09433 1366.54753  -99.00000 1366.95558  -99.00000
20010724 072920 1366.11721 1366.57042  -99.00000 1366.97847  -99.00000
20010724 082920 1366.07750 1366.53071  -99.00000 1366.93877  -99.00000
20010724 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010724 102920 1366.20553 1366.62540 1365.78567 1367.03345 1366.21592
20010724 112920 1366.19388 1366.60819 1365.77958 1367.01625 1366.20980
20010724 122920 1366.18132 1366.59240 1365.77023 1367.00046 1366.20042
20010724 132920 1366.16877 1366.61377 1365.72377 1367.02183 1366.15393
20010724 142920 1366.17292 1366.61487 1365.73097 1367.02293 1366.16110
20010724 152920 1366.14941 1366.58455 1365.71428 1366.99262 1366.14437
20010724 162920 1366.16901 1366.60554 1365.73248 1367.01361 1366.16255
20010724 172920 1366.15758 1366.59563 1365.71954 1367.00371 1366.14957
20010724 182920 1366.17526 1366.63297 1365.71755 1367.04105 1366.14756
20010724 192920 1366.12646 1366.59111 1365.66180 1366.99920 1366.09178
20010724 202920 1366.14356 1366.60436 1365.68277 1367.01244 1366.11272
20010724 212920 1366.13956 1366.60110 1365.67803 1367.00918 1366.10795
20010724 222920 1366.15472 1366.61699 1365.69245 1367.02508 1366.12234
20010724 232920 1366.15678 1366.61788 1365.69569 1367.02597 1366.12555
20010725 002920 1366.19642 1366.66342 1365.72941 1367.07151 1366.15925
20010725 012920 1366.16952 1366.62721 1365.71184 1367.03531 1366.14165
20010725 022920 1366.15861 1366.61415 1365.70306 1367.02225 1366.13284
20010725 032920 1366.14800 1366.60704 1365.68895 1367.01514 1366.11870
20010725 042920 1366.16724 1366.62272 1365.71176 1367.03082 1366.14149
20010725 052920 1366.13329 1366.59287 1365.67370 1367.00098 1366.10340
20010725 062920 1366.17237 1366.64472 1365.70003 1367.05282 1366.12970
20010725 072920 1366.10202 1366.57256 1365.63148 1366.98067 1366.06112
20010725 082920 1366.19042 1366.65695 1365.72389 1367.06506 1366.15351
20010725 092920 1366.15924 1366.63054 1365.68793 1367.03866 1366.11752
20010725 102920 1366.14342 1366.59730 1365.68955 1367.00541 1366.11911
20010725 112920 1366.21791 1366.66442 1365.77140 1367.07254 1366.20093
20010725 122920 1366.18616 1366.63211 1365.74022 1367.04024 1366.16972
20010725 132920 1366.15583 1366.61475 1365.69691 1367.02288 1366.12639
20010725 142920 1366.21313 1366.66499 1365.76127 1367.07312 1366.19073
20010725 152920 1366.18106 1366.63543 1365.72669 1367.04357 1366.15612
20010725 162920 1366.19153 1366.65573 1365.72732 1367.06386 1366.15673
20010725 172920 1366.18898 1366.63947 1365.73849 1367.04760 1366.16787
20010725 182920 1366.18123 1366.63738 1365.72508 1367.04552 1366.15443
20010725 192920 1366.17409 1366.63135 1365.71683 1367.03949 1366.14615
20010725 202920 1366.15566 1366.60439 1365.70693 1367.01253 1366.13623
20010725 212920 1366.12106 1366.57773 1365.66439 1366.98588 1366.09366
20010725 222920 1366.14733 1366.60347 1365.69120 1367.01162 1366.12044
20010725 232920 1366.17620 1366.63861 1365.71378 1367.04677 1366.14300
20010726 002920 1366.16223 1366.62240 1365.70206 1367.03056 1366.13125
20010726 012920 1366.16135 1366.62104 1365.70166 1367.02920 1366.13082
20010726 022920 1366.16646 1366.63498 1365.69793 1367.04315 1366.12705
20010726 032920 1366.14868 1366.61992 1365.67745 1367.02809 1366.10653
20010726 042920 1366.16724 1366.63856 1365.69592 1367.04673 1366.12496
20010726 052920 1366.19068 1366.65216 1365.72921 1367.06033 1366.15822
20010726 062920 1366.16993 1366.64540 1365.69446 1367.05357 1366.12343
20010726 072920 1366.15545 1366.62434 1365.68657 1367.03251 1366.11550
20010726 082920 1366.16569 1366.64588 1365.68550 1367.05406 1366.11439
20010726 092920 1366.17663 1366.64882 1365.70443 1367.05700 1366.13329
20010726 102920 1366.20937 1366.68471 1365.73403 1367.09289 1366.16285
20010726 112920 1366.20371 1366.68465 1365.72277 1367.09284 1366.15154
20010726 122920 1366.20515 1366.67959 1365.73070 1367.08778 1366.15944
20010726 132920 1366.19260 1366.67498 1365.71021 1367.08317 1366.13891
20010726 142920 1366.17050 1366.66277 1365.67822 1367.07097 1366.10688
20010726 152920 1366.20087 1366.68031 1365.72144 1367.08851 1366.15006
20010726 162920 1366.18051 1366.64535 1365.71567 1367.05356 1366.14425
20010726 172920 1366.24838 1366.69829 1365.79846 1367.10650 1366.22700
20010726 182920 1366.28722 1366.71778 1365.85666 1367.12599 1366.28517
20010726 192920 1366.27501 1366.72307 1365.82694 1367.13129 1366.25541
20010726 202920 1366.31875 1366.75526 1365.88223 1367.16348 1366.31066
20010726 212920 1366.31101 1366.73346 1365.88856 1367.14167 1366.31694
20010726 222920 1366.32030 1366.74845 1365.89215 1367.15667 1366.32050
20010726 232920 1366.30524 1366.71434 1365.89615 1367.12256 1366.32445
20010727 002920 1366.30863 1366.72638 1365.89088 1367.13460 1366.31915
20010727 012920 1366.36365 1366.77499 1365.95232 1367.18321 1366.38055
20010727 022920 1366.41703  -99.00000 1365.96329  -99.00000 1366.39147
20010727 032920 1366.39792  -99.00000 1365.94419  -99.00000 1366.37233
20010727 042920 1366.44042  -99.00000 1365.98667  -99.00000 1366.41477
20010727 052920 1366.40105  -99.00000 1365.94730  -99.00000 1366.37536
20010727 062920 1366.37302  -99.00000 1365.91928  -99.00000 1366.34730
20010727 072920 1366.30944 1366.73856 1365.88033 1367.14681 1366.30830
20010727 082920 1366.32241 1366.74920 1365.89563 1367.15745 1366.32356
20010727 092920 1366.31851 1366.76519 1365.87184 1367.17344 1366.29973
20010727 102920 1366.28393 1366.74333 1365.82453 1367.15159 1366.25238
20010727 112920 1366.30345 1366.77412 1365.83278 1367.18238 1366.26058
20010727 122920 1366.26783 1366.72776 1365.80790 1367.13602 1366.23566
20010727 132920 1366.29691 1366.75510 1365.83872 1367.16337 1366.26644
20010727 142920 1366.31884 1366.77329 1365.86439 1367.18156 1366.29207
20010727 152920 1366.29299 1366.75073 1365.83525 1367.15900 1366.26288
20010727 162920 1366.30338 1366.74707 1365.85968 1367.15535 1366.28727
20010727 172920 1366.31135 1366.76446 1365.85824 1367.17274 1366.28578
20010727 182920 1366.35011 1366.79521 1365.90502 1367.20349 1366.33252
20010727 192920 1366.31144 1366.74155 1365.88133 1367.14983 1366.30879
20010727 202920 1366.33229 1366.77394 1365.89064 1367.18222 1366.31806
20010727 212920 1366.32488 1366.76983 1365.87994 1367.17812 1366.30731
20010727 222920 1366.35640 1366.79592 1365.91688 1367.20421 1366.34420
20010727 232920 1366.33997 1366.78751 1365.89244 1367.19580 1366.31972
20010728 002920 1366.31530 1366.76787 1365.86273 1367.17617 1366.28997
20010728 012920 1366.32925 1366.77969 1365.87881 1367.18799 1366.30600
20010728 022920 1366.33275 1366.78813 1365.87737 1367.19643 1366.30452
20010728 032920 1366.34326 1366.81167 1365.87486 1367.21998 1366.30196
20010728 042920 1366.34972 1366.82011 1365.87933 1367.22842 1366.30639
20010728 052920 1366.34228 1366.79580 1365.88877 1367.20411 1366.31578
20010728 062920 1366.33246 1366.78749 1365.87743 1367.19581 1366.30440
20010728 072920 1366.35572 1366.81308 1365.89835 1367.22140 1366.32527
20010728 082920 1366.35463 1366.80143 1365.90782 1367.20975 1366.33469
20010728 092920 1366.33686 1366.78601 1365.88770 1367.19434 1366.31453
20010728 102920 1366.37260 1366.82345 1365.92175 1367.23178 1366.34853
20010728 112920 1366.38451 1366.82889 1365.94013 1367.23722 1366.36686
20010728 122920 1366.43976 1366.85993 1366.01958 1367.26827 1366.44627
20010728 132920 1366.41561 1366.83832 1365.99291 1367.24666 1366.41955
20010728 142920 1366.40444 1366.82551 1365.98337 1367.23385 1366.40996
20010728 152920 1366.43389 1366.83140 1366.03637 1367.23975 1366.46291
20010728 162920 1366.42105 1366.81534 1366.02676 1367.22369 1366.45326
20010728 172920 1366.48224 1366.85193 1366.11255 1367.26028 1366.53900
20010728 182920 1366.49639 1366.85522 1366.13756 1367.26358 1366.56396
20010728 192920 1366.49519 1366.83636 1366.15402 1367.24472 1366.58037
20010728 202920 1366.71014  -99.00000 1366.25634  -99.00000 1366.68265
20010728 212920 1366.69804  -99.00000 1366.24424  -99.00000 1366.67050
20010728 222920 1366.69715  -99.00000 1366.24335  -99.00000 1366.66956
20010728 232920 1366.66092  -99.00000 1366.20713  -99.00000 1366.63329
20010729 002920 1366.64850  -99.00000 1366.19471  -99.00000 1366.62083
20010729 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010729 112920 1366.54845  -99.00000 1366.09463  -99.00000 1366.52036
20010729 122920 1366.52576  -99.00000 1366.07195  -99.00000 1366.49764
20010729 132920 1366.50828  -99.00000 1366.05448  -99.00000 1366.48014
20010729 142920 1366.46333  -99.00000 1366.00955  -99.00000 1366.43517
20010729 152920 1366.52689  -99.00000 1366.07309  -99.00000 1366.49868
20010729 162920 1366.55814  -99.00000 1366.10433  -99.00000 1366.52988
20010729 172920 1366.49946 1366.90947 1366.08944 1367.31788 1366.51496
20010729 182920 1366.50652 1366.89879 1366.11426 1367.30720 1366.53974
20010729 192920 1366.49312 1366.90313 1366.08312 1367.31154 1366.50857
20010729 202920 1366.47524 1366.89637 1366.05411 1367.30478 1366.47953
20010729 212920 1366.52577  -99.00000 1366.07199  -99.00000 1366.49737
20010729 222920 1366.46850 1366.85865 1366.07835 1367.26707 1366.50370
20010729 232920 1366.48359 1366.87362 1366.09356 1367.28204 1366.51887
20010730 002920 1366.45726 1366.91113 1366.00340 1367.31955 1366.42868
20010730 012920 1366.43876 1366.88960 1365.98791 1367.29803 1366.41316
20010730 022920 1366.43772 1366.88756 1365.98789 1367.29599 1366.41311
20010730 032920 1366.46004 1366.90963 1366.01045 1367.31807 1366.43563
20010730 042920 1366.42088 1366.89314 1365.94862 1367.30157 1366.37377
20010730 052920 1366.42767 1366.90063 1365.95471 1367.30906 1366.37983
20010730 062920 1366.45470 1366.93152 1365.97787 1367.33995 1366.40296
20010730 072920 1366.45631 1366.92706 1365.98557 1367.33550 1366.41063
20010730 082920 1366.43720 1366.91560 1365.95880 1367.32404 1366.38382
20010730 092920 1366.43371 1366.92134 1365.94609 1367.32978 1366.37109
20010730 102920 1366.39536 1366.88583 1365.90489 1367.29427 1366.32986
20010730 112920 1366.42317 1366.88862 1365.95773 1367.29706 1366.38266
20010730 122920 1366.39246 1366.85936 1365.92556 1367.26780 1366.35046
20010730 132920 1366.41531 1366.87175 1365.95886 1367.28020 1366.38374
20010730 142920 1366.43114 1366.90314 1365.95914 1367.31159 1366.38398
20010730 152920 1366.41361 1366.89498 1365.93224 1367.30343 1366.35705
20010730 162920 1366.41726 1366.89262 1365.94191 1367.30107 1366.36669
20010730 172920 1366.38629 1366.85501 1365.91758 1367.26346 1366.34233
20010730 182920 1366.39407 1366.84805 1365.94009 1367.25651 1366.36481
20010730 192920 1366.38211 1366.84129 1365.92294 1367.24975 1366.34763
20010730 202920 1366.38974 1366.83407 1365.94540 1367.24254 1366.37006
20010730 212920 1366.41278 1366.85711 1365.96844 1367.26558 1366.39307
20010730 222920 1366.41911 1366.86735 1365.97087 1367.27582 1366.39547
20010730 232920 1366.45755 1366.89304 1366.02206 1367.30151 1366.44664
20010731 002920 1366.45933 1366.88388 1366.03478 1367.29235 1366.45932
20010731 012920 1366.48418 1366.89192 1366.07643 1367.30040 1366.50095
20010731 022920 1366.47901 1366.88696 1366.07106 1367.29544 1366.49555
20010731 032920 1366.53337 1366.93105 1366.13569 1367.33953 1366.56015
20010731 042920 1366.47558 1366.87809 1366.07307 1367.28657 1366.49750
20010731 052920 1366.45661 1366.87918 1366.03404 1367.28766 1366.45845
20010731 062920 1366.47067 1366.89032 1366.05101 1367.29880 1366.47538
20010731 072920 1366.48136 1366.89966 1366.06307 1367.30814 1366.48741
20010731 082920 1366.42537 1366.83900 1366.01173 1367.24749 1366.43605
20010731 092920 1366.42260 1366.86034 1365.98487 1367.26883 1366.40916
20010731 102920 1366.43010 1366.86463 1365.99557 1367.27312 1366.41984
20010731 112920 1366.38031 1366.83717 1365.92346 1367.24566 1366.34770
20010731 122920 1366.37333 1366.83256 1365.91411 1367.24105 1366.33832
20010731 132920 1366.34166 1366.79300 1365.89032 1367.20149 1366.31450
20010731 142920 1366.34967 1366.80954 1365.88981 1367.21803 1366.31397
20010731 152920 1366.36828 1366.81808 1365.91848 1367.22657 1366.34261
20010731 162920 1366.40644 1366.84947 1365.96341 1367.25796 1366.38751
20010731 172920 1366.42493 1366.84619 1366.00366 1367.25469 1366.42774
20010731 182920 1366.43745 1366.85340 1366.02151 1367.26190 1366.44556
20010731 192920 1366.44515 1366.84889 1366.04141 1367.25739 1366.46543
20010731 202920 1366.45554 1366.86713 1366.04395 1367.27563 1366.46795
20010731 212920 1366.38125 1366.80351 1365.95899 1367.21202 1366.38296
20010731 222920 1366.36446 1366.84690 1365.88201 1367.25541 1366.30596
20010731 232920 1366.33272 1366.83469 1365.83074 1367.24320 1366.25466
20010801 002920 1366.34934 1366.81618 1365.88250 1367.22469 1366.30640
20010801 012920 1366.34688  -99.00000 1365.89330  -99.00000 1366.31717
20010801 022920 1366.37460  -99.00000 1365.92101  -99.00000 1366.34486
20010801 032920 1366.40535  -99.00000 1365.95175  -99.00000 1366.37558
20010801 042920 1366.48419  -99.00000 1366.03057  -99.00000 1366.45437
20010801 052920 1366.45091  -99.00000 1365.99731  -99.00000 1366.42108
20010801 062920 1366.45813  -99.00000 1366.00453  -99.00000 1366.42828
20010801 072920 1366.42353 1366.83505 1366.01202 1367.24357 1366.43576
20010801 082920 1366.37031 1366.79145 1365.94918 1367.19998 1366.37289
20010801 092920 1366.37935 1366.79969 1365.95900 1367.20822 1366.38269
20010801 102920 1366.37221 1366.80238 1365.94205 1367.21091 1366.36571
20010801 112920 1366.36147 1366.81107 1365.91187 1367.21960 1366.33551
20010801 122920 1366.37283 1366.80795 1365.93770 1367.21649 1366.36132
20010801 132920 1366.35494 1366.77954 1365.93035 1367.18808 1366.35394
20010801 142920 1366.36134 1366.78643 1365.93624 1367.19498 1366.35981
20010801 152920 1366.31508 1366.74397 1365.88619 1367.15252 1366.30974
20010801 162920 1366.36063 1366.79801 1365.92325 1367.20656 1366.34679
20010801 172920 1366.36777 1366.80500 1365.93055 1367.21355 1366.35406
20010801 182920 1366.37397 1366.81744 1365.93050 1367.22599 1366.35399
20010801 192920 1366.37510 1366.82613 1365.92407 1367.23468 1366.34754
20010801 202920 1366.29738 1366.75077 1365.84399 1367.15933 1366.26744
20010801 212920 1366.28568 1366.77281 1365.79856 1367.18137 1366.22199
20010801 222920 1366.27045 1366.75485 1365.78606 1367.16341 1366.20947
20010801 232920 1366.33056 1366.81324 1365.84788 1367.22180 1366.27127
20010802 002920 1366.25368 1366.72397 1365.78340 1367.13253 1366.20677
20010802 012920 1366.25070 1366.72272 1365.77869 1367.13128 1366.20204
20010802 022920 1366.30109 1366.77655 1365.82563 1367.18513 1366.24896
20010802 032920 1366.24489 1366.71764 1365.77215 1367.12622 1366.19546
20010802 042920 1366.26459 1366.73073 1365.79845 1367.13931 1366.22174
20010802 052920 1366.27892 1366.73727 1365.82058 1367.14585 1366.24385
20010802 062920 1366.27655 1366.72874 1365.82436 1367.13732 1366.24761
20010802 072920 1366.26765 1366.71460 1365.82069 1367.12318 1366.24393
20010802 082920 1366.25001 1366.69374 1365.80628 1367.10233 1366.22950
20010802 092920 1366.29419 1366.73643 1365.85195 1367.14502 1366.27515
20010802 102920 1366.27227 1366.71787 1365.82668 1367.12646 1366.24986
20010802 112920 1366.25452 1366.70581 1365.80323 1367.11440 1366.22639
20010802 122920 1366.24488 1366.69420 1365.79555 1367.10280 1366.21870
20010802 132920 1366.25497 1366.72088 1365.78906 1367.12948 1366.21219
20010802 142920 1366.23362 1366.70682 1365.76041 1367.11543 1366.18353
20010802 152920 1366.19345 1366.67311 1365.71378 1367.08172 1366.13688
20010802 162920 1366.17290 1366.65300 1365.69279 1367.06161 1366.11587
20010802 172920 1366.19923 1366.68414 1365.71432 1367.09275 1366.13738
20010802 182920 1366.20854 1366.70968 1365.70739 1367.11829 1366.13044
20010802 192920 1366.21252 1366.70462 1365.72043 1367.11323 1366.14346
20010802 202920 1366.17714 1366.68061 1365.67368 1367.08923 1366.09669
20010802 212920 1366.18209 1366.67270 1365.69147 1367.08132 1366.11447
20010802 222920 1366.24443 1366.72057 1365.76829 1367.12919 1366.19127
20010802 232920 1366.19142 1366.66435 1365.71850 1367.07297 1366.14147
20010803 002920 1366.18404 1366.66236 1365.70571 1367.07099 1366.12866
20010803 012920 1366.18457 1366.65820 1365.71093 1367.06683 1366.13387
20010803 022920 1366.18331 1366.66464 1365.70197 1367.07327 1366.12489
20010803 032920 1366.16540 1366.64638 1365.68442 1367.05502 1366.10733
20010803 042920 1366.15582 1366.63522 1365.67641 1367.04386 1366.09931
20010803 052920 1366.17523 1366.65086 1365.69960 1367.05950 1366.12248
20010803 062920 1366.15660 1366.63531 1365.67789 1367.04396 1366.10076
20010803 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010803 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010803 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010803 102920 1366.14143 1366.59494  -99.00000 1367.00360  -99.00000
20010803 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20010803 122920 1366.13279 1366.58629  -99.00000 1366.99495  -99.00000
20010803 132920 1366.11354 1366.56702  -99.00000 1366.97568  -99.00000
20010803 142920 1366.08484 1366.53831  -99.00000 1366.94697  -99.00000
20010803 152920 1366.08059 1366.54124 1365.61993 1366.94992 1366.04267
20010803 162920 1366.03678 1366.50568 1365.56788 1366.91436 1365.99061
20010803 172920 1366.01669 1366.47607 1365.55731 1366.88475 1365.98003
20010803 182920 1365.97720 1366.44466 1365.50974 1366.85334 1365.93245
20010803 192920 1365.95404 1366.42395 1365.48413 1366.83263 1365.90682
20010803 202920 1365.94746 1366.41999 1365.47494 1366.82867 1365.89762
20010803 212920 1365.89974 1366.37513 1365.42435 1366.78381 1365.84702
20010803 222920 1365.92727 1366.40112 1365.45343 1366.80981 1365.87609
20010803 232920 1365.90914 1366.37620 1365.44208 1366.78490 1365.86472
20010804 002920 1365.87012 1366.34689 1365.39335 1366.75559 1365.81598
20010804 012920 1365.85292 1366.33338 1365.37246 1366.74208 1365.79506
20010804 022920 1365.83720 1366.31142 1365.36298 1366.72012 1365.78556
20010804 032920 1365.87161 1366.35221 1365.39102 1366.76091 1365.81357
20010804 042920 1365.79149 1366.26645 1365.31654 1366.67515 1365.73906
20010804 052920 1365.76828 1366.24214 1365.29443 1366.65085 1365.71693
20010804 062920 1365.74720 1366.22757 1365.26682 1366.63629 1365.68930
20010804 072920 1365.69250 1366.16086 1365.22415 1366.56958 1365.64660
20010804 082920 1365.66654 1366.14345 1365.18963 1366.55217 1365.61205
20010804 092920 1365.69290 1366.14149 1365.24430 1366.55021 1365.66670
20010804 102920 1365.62722 1366.07808 1365.17636 1366.48680 1365.59873
20010804 112920 1365.65634 1366.10547 1365.20721 1366.51419 1365.62956
20010804 122920 1365.63576 1366.09971 1365.17182 1366.50843 1365.59414
20010804 132920 1365.61480 1366.07859 1365.15101 1366.48732 1365.57330
20010804 142920 1365.60063 1366.05888 1365.14238 1366.46761 1365.56464
20010804 152920 1365.56160 1366.03697 1365.08622 1366.44571 1365.50846
20010804 162920 1365.56076 1366.04051 1365.08100 1366.44925 1365.50321
20010804 172920 1365.54550 1366.01710 1365.07391 1366.42584 1365.49609
20010804 182920 1365.54867 1366.02334 1365.07400 1366.43208 1365.49616
20010804 192920 1365.56244 1366.03517 1365.08970 1366.44392 1365.51183
20010804 202920 1365.56601 1366.03876 1365.09326 1366.44751 1365.51536
20010804 212920 1365.55570 1366.00320 1365.10819 1366.41195 1365.53026
20010804 222920 1365.54349 1365.99439 1365.09260 1366.40314 1365.51464
20010804 232920 1365.52164 1365.95688 1365.08641 1366.36563 1365.50842
20010805 002920 1365.53476 1365.98347 1365.08606 1366.39222 1365.50805
20010805 012920 1365.50521 1365.96540 1365.04502 1366.37417 1365.46698
20010805 022920 1365.49302 1365.94784 1365.03819 1366.35661 1365.46012
20010805 032920 1365.48151 1365.94503 1365.01798 1366.35380 1365.43988
20010805 042920 1365.41384 1365.88227 1364.94541 1366.29104 1365.36727
20010805 052920 1365.41355 1365.88166 1364.94545 1366.29043 1365.36728
20010805 062920 1365.43113 1365.90455 1364.95771 1366.31332 1365.37952
20010805 072920 1365.44009 1365.90258 1364.97759 1366.31136 1365.39936
20010805 082920 1365.43856 1365.90452 1364.97260 1366.31330 1365.39434
20010805 092920 1365.47186 1365.93401 1365.00972 1366.34279 1365.43143
20010805 102920 1365.40763 1365.87385 1364.94140 1366.28263 1365.36309
20010805 112920 1365.45026 1365.91954 1364.98099 1366.32832 1365.40264
20010805 122920 1365.47590 1365.93913 1365.01267 1366.34791 1365.43428
20010805 132920 1365.45582 1365.93241 1364.97923 1366.34121 1365.40082
20010805 142920 1365.48666 1365.95755 1365.01577 1366.36635 1365.43733
20010805 152920 1365.47560 1365.94374 1365.00747 1366.35254 1365.42899
20010805 162920 1365.47187 1365.92973 1365.01401 1366.33853 1365.43550
20010805 172920 1365.52234 1365.98017 1365.06452 1366.38897 1365.48598
20010805 182920 1365.49941 1365.95625 1365.04257 1366.36506 1365.46400
20010805 192920 1365.46707 1365.94164 1364.99249 1366.35045 1365.41389
20010805 202920 1365.49581 1365.96803 1365.02358 1366.37684 1365.44494
20010805 212920 1365.47502 1365.93587 1365.01416 1366.34468 1365.43549
20010805 222920 1365.51181 1365.97221 1365.05142 1366.38102 1365.47271
20010805 232920 1365.52109 1365.98320 1365.05898 1366.39201 1365.48024
20010806 002920 1365.51803 1365.97698 1365.05908 1366.38580 1365.48030
20010806 012920 1365.56087 1366.02152 1365.10021 1366.43034 1365.52141
20010806 022920 1365.57031 1366.02751 1365.11311 1366.43633 1365.53427
20010806 032920 1365.50259 1365.99355 1365.01164 1366.40238 1365.43276
20010806 042920 1365.49577 1365.96009 1365.03146 1366.36892 1365.45255
20010806 052920 1365.53188 1366.00457 1365.05918 1366.41341 1365.48024
20010806 062920 1365.58316 1366.04606 1365.12025 1366.45490 1365.54127
20010806 072920 1365.53598 1365.98795 1365.08400 1366.39679 1365.50499
20010806 082920 1365.57810 1366.03224 1365.12397 1366.44108 1365.54492
