 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
19990312 102920 1366.42396  -99.00000 1365.96277  -99.00000 1366.24774
19990312 112920 1366.44661  -99.00000 1365.98542  -99.00000 1366.27037
19990312 122920 1366.39283  -99.00000 1365.93166  -99.00000 1366.21661
19990312 132920 1366.33723 1366.76902 1365.90544 1366.84768 1366.19037
19990312 142920 1366.36577 1366.80477 1365.92678 1366.88347 1366.21170
19990312 152920 1366.32404 1366.75651 1365.89156 1366.83526 1366.17646
19990312 162920 1366.33506 1366.77971 1365.89041 1366.85851 1366.17529
19990312 172920 1366.36412 1366.81897 1365.90927 1366.89783 1366.19414
19990312 182920 1366.34837 1366.81420 1365.88253 1366.89311 1366.16739
19990312 192920 1366.34548 1366.80932 1365.88165 1366.88827 1366.16649
19990312 202920 1366.29174 1366.75107 1365.83241 1366.83007 1366.11724
19990312 212920 1366.30525 1366.77388 1365.83663 1366.85293 1366.12144
19990312 222920 1366.28832 1366.77372 1365.80293 1366.85281 1366.08772
19990312 232920 1366.30029 1366.78088 1365.81969 1366.86003 1366.10447
19990313 002920 1366.30404 1366.78123 1365.82684 1366.86042 1366.11161
19990313 012920 1366.30238 1366.75128 1365.85349 1366.83052 1366.13824
19990313 022920 1366.30187 1366.74716 1365.85658 1366.82645 1366.14132
19990313 032920 1366.31891 1366.75819 1365.87963 1366.83753 1366.16435
19990313 042920 1366.24808 1366.70919 1365.78697 1366.78857 1366.07168
19990313 052920 1366.18853 1366.64644 1365.73061 1366.72588 1366.01531
19990313 062920 1366.21584 1366.67310 1365.75859 1366.75258 1366.04327
19990313 072920 1366.18745 1366.66731 1365.70760 1366.74684 1365.99227
19990313 082920 1366.16051 1366.64867 1365.67236 1366.72824 1365.95702
19990313 092920 1366.16751 1366.63442 1365.70060 1366.71404 1365.98525
19990313 102920 1366.12010 1366.57906 1365.66114 1366.65873 1365.94578
19990313 112920 1366.11743 1366.57997 1365.65489 1366.65969 1365.93951
19990313 122920 1366.09075 1366.54448 1365.63702 1366.62424 1365.92163
19990313 132920 1366.09271 1366.56304 1365.62239 1366.64285 1365.90699
19990313 142920 1366.09638 1366.56241 1365.63035 1366.64226 1365.91494
19990313 152920 1366.06755 1366.54182 1365.59327 1366.62173 1365.87784
19990313 162920 1366.08138 1366.53574 1365.62701 1366.61569 1365.91157
19990313 172920 1366.05431 1366.50584 1365.60277 1366.58584 1365.88732
19990313 182920 1366.03125 1366.48485 1365.57765 1366.56490 1365.86219
19990313 192920 1365.99855 1366.44654 1365.55057 1366.52663 1365.83510
19990313 202920 1365.96387 1366.42348 1365.50427 1366.50361 1365.78878
19990313 212920 1365.94543 1366.39907 1365.49179 1366.47925 1365.77629
19990313 222920 1365.86183 1366.34153 1365.38213 1366.42176 1365.66662
19990313 232920 1365.92919 1366.40680 1365.45159 1366.48707 1365.73607
19990314 002920 1365.90267 1366.37658 1365.42876 1366.45690 1365.71323
19990314 012920 1365.89326 1366.36858 1365.41794 1366.44895 1365.70240
19990314 022920 1365.88439 1366.38169 1365.38709 1366.46210 1365.67154
19990314 032920 1365.89766 1366.38189 1365.41342 1366.46235 1365.69786
19990314 042920 1365.84475 1366.32701 1365.36249 1366.40752 1365.64692
19990314 052920 1365.88855 1366.37117 1365.40593 1366.45172 1365.69035
19990314 062920 1365.87306 1366.36657 1365.37956 1366.44716 1365.66397
19990314 072920 1365.86075 1366.34304 1365.37846 1366.42368 1365.66286
19990314 082920 1365.87519 1366.35118 1365.39919 1366.43187 1365.68358
19990314 092920 1365.91164 1366.38933 1365.43395 1366.47006 1365.71833
19990314 102920 1365.91982 1366.38435 1365.45530 1366.46512 1365.73966
19990314 112920 1365.91604 1366.36906 1365.46303 1366.44987 1365.74739
19990314 122920 1365.91939 1366.38030 1365.45847 1366.46117 1365.74282
19990314 132920 1365.89694 1366.36837 1365.42551 1366.44927 1365.70985
19990314 142920 1365.93820 1366.40872 1365.46767 1366.48967 1365.75200
19990314 152920 1365.90017 1366.36203 1365.43830 1366.44302 1365.72263
19990314 162920 1365.90320 1366.36176 1365.44464 1366.44280 1365.72896
19990314 172920 1365.88532 1366.35635 1365.41429 1366.43743 1365.69859
19990314 182920 1365.87755 1366.35427 1365.40083 1366.43539 1365.68513
19990314 192920 1365.93172 1366.41467 1365.44877 1366.49584 1365.73306
19990314 202920 1365.91627 1366.39696 1365.43558 1366.47818 1365.71986
19990314 212920 1365.91229 1366.40067 1365.42391 1366.48193 1365.70818
19990314 222920 1365.91236 1366.43269 1365.39202 1366.51399 1365.67628
19990314 232920 1365.89360 1366.41258 1365.37461 1366.49393 1365.65887
19990315 002920 1365.93748 1366.45456 1365.42040 1366.53595 1365.70464
19990315 012920 1365.93357 1366.45217 1365.41498 1366.53360 1365.69921
19990315 022920 1365.94583 1366.45501 1365.43665 1366.53650 1365.72087
19990315 032920 1365.92675 1366.42525 1365.42824 1366.50678 1365.71245
19990315 042920 1365.95441 1366.45592 1365.45290 1366.53750 1365.73709
19990315 052920 1365.94907 1366.43058 1365.46756 1366.51221 1365.75174
19990315 062920 1365.98310 1366.46701 1365.49919 1366.54868 1365.78336
19990315 072920 1366.01347 1366.49327 1365.53368 1366.57499 1365.81783
19990315 082920 1365.98297 1366.44623 1365.51971 1366.52800 1365.80385
19990315 092920 1366.01001 1366.47868 1365.54133 1366.56050 1365.82546
19990315 102920 1366.03043 1366.49548 1365.56539 1366.57734 1365.84951
19990315 112920 1366.01961 1366.49429 1365.54492 1366.57620 1365.82903
19990315 122920 1366.00777 1366.47419 1365.54135 1366.55615 1365.82544
19990315 132920 1366.05091 1366.52405 1365.57776 1366.60606 1365.86184
19990315 142920 1366.05179 1366.51991 1365.58368 1366.60196 1365.86774
19990315 152920 1366.11269 1366.58134 1365.64403 1366.66344 1365.92808
19990315 162920 1366.05052 1366.51936 1365.58168 1366.60150 1365.86571
19990315 172920 1366.02505 1366.49956 1365.55054 1366.58176 1365.83456
19990315 182920 1366.05622 1366.52755 1365.58488 1366.60979 1365.86890
19990315 192920 1366.08518 1366.56747 1365.60289 1366.64976 1365.88689
19990315 202920 1366.08596 1366.55917 1365.61275 1366.64151 1365.89674
19990315 212920 1366.13064 1366.61022 1365.65106 1366.69261 1365.93504
19990315 222920 1366.10146 1366.57307 1365.62985 1366.65550 1365.91381
19990315 232920 1366.09563 1366.56152 1365.62973 1366.64400 1365.91368
19990316 002920 1366.10659 1366.57296 1365.64022 1366.65549 1365.92415
19990316 012920 1366.11711 1366.59288 1365.64134 1366.67546 1365.92526
19990316 022920 1366.13060 1366.59372 1365.66748 1366.67634 1365.95139
19990316 032920 1366.12086 1366.59539 1365.64633 1366.67806 1365.93022
19990316 042920 1366.10340 1366.57946 1365.62734 1366.66218 1365.91123
19990316 052920 1366.07201 1366.56839 1365.57564 1366.65115 1365.85951
19990316 062920 1366.11473 1366.60228 1365.62719 1366.68509 1365.91105
19990316 072920 1366.09828 1366.58776 1365.60881 1366.67062 1365.89265
19990316 082920 1366.07669 1366.56516 1365.58823 1366.64806 1365.87206
19990316 092920 1366.13725 1366.62470 1365.64979 1366.70766 1365.93361
19990316 102920 1366.12320 1366.61352 1365.63289 1366.69652 1365.91670
19990316 112920 1366.13818 1366.63539 1365.64096 1366.71844 1365.92476
19990316 122920 1366.17319 1366.66397 1365.68242 1366.74706 1365.96621
19990316 132920 1366.16465 1366.67822 1365.65109 1366.76136 1365.93486
19990316 142920 1366.17807 1366.69867 1365.65747 1366.78186 1365.94123
19990316 152920 1366.19660 1366.71642 1365.67678 1366.79966 1365.96052
19990316 162920 1366.20605 1366.72728 1365.68481 1366.81057 1365.96855
19990316 172920 1366.23176 1366.75497 1365.70855 1366.83831 1365.99227
19990316 182920 1366.23605 1366.77353 1365.69858 1366.85691 1365.98229
19990316 192920 1366.24429 1366.79306 1365.69552 1366.87650 1365.97921
19990316 202920 1366.22815 1366.77443 1365.68188 1366.85790 1365.96556
19990316 212920 1366.28773 1366.80360 1365.77186 1366.88712 1366.05553
19990316 222920 1366.28312 1366.81995 1365.74629 1366.90353 1366.02995
19990316 232920 1366.27031 1366.77666 1365.76397 1366.86028 1366.04761
19990317 002920 1366.28042 1366.78097 1365.77987 1366.86464 1366.06350
19990317 012920 1366.32212 1366.80440 1365.83984 1366.88812 1366.12346
19990317 022920 1366.33613 1366.80865 1365.86362 1366.89242 1366.14722
19990317 032920 1366.37716 1366.82672 1365.92760 1366.91054 1366.21120
19990317 042920 1366.39283 1366.81656 1365.96911 1366.90042 1366.25269
19990317 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990317 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990317 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990317 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990317 092920 1366.37041 1366.83136  -99.00000 1366.91546  -99.00000
19990317 102920 1366.37515 1366.83610  -99.00000 1366.92025  -99.00000
19990317 112920 1366.36045 1366.82140  -99.00000 1366.90560  -99.00000
19990317 122920 1366.43065 1366.89162  -99.00000 1366.97587  -99.00000
19990317 132920 1366.47900 1366.91898 1366.03903 1367.00327 1366.32250
19990317 142920 1366.45914 1366.89878 1366.01950 1366.98312 1366.30296
19990317 152920 1366.47744 1366.91028 1366.04460 1366.99467 1366.32805
19990317 162920 1366.47292 1366.89612 1366.04972 1366.98056 1366.33315
19990317 172920 1366.47718 1366.89797 1366.05638 1366.98246 1366.33980
19990317 182920 1366.54577  -99.00000 1366.08493  -99.00000 1366.36834
19990317 192920 1366.49784  -99.00000 1366.03702  -99.00000 1366.32041
19990317 202920 1366.49970  -99.00000 1366.03888  -99.00000 1366.32226
19990317 212920 1366.49673  -99.00000 1366.03591  -99.00000 1366.31928
19990317 222920 1366.49261  -99.00000 1366.03180  -99.00000 1366.31516
19990317 232920 1366.48951  -99.00000 1366.02870  -99.00000 1366.31204
19990318 002920 1366.46890 1366.91811 1366.01968 1367.00293 1366.30301
19990318 012920 1366.48729 1366.93212 1366.04246 1367.01699 1366.32578
19990318 022920 1366.49611 1366.94931 1366.04291 1367.03422 1366.32621
19990318 032920 1366.48655 1366.95517 1366.01794 1367.04014 1366.30123
19990318 042920 1366.47235 1366.96728 1365.97742 1367.05230 1366.26069
19990318 052920 1366.43536 1366.93461 1365.93610 1367.01968 1366.21936
19990318 062920 1366.47482 1366.99546 1365.95419 1367.08058 1366.23743
19990318 072920 1366.47795 1366.99381 1365.96209 1367.07898 1366.24531
19990318 082920 1366.49729 1366.99251 1366.00207 1367.07773 1366.28528
19990318 092920 1366.52669 1367.02538 1366.02801 1367.11064 1366.31120
19990318 102920 1366.55877 1367.04791 1366.06963 1367.13323 1366.35281
19990318 112920 1366.55501 1367.03762 1366.07239 1367.12299 1366.35555
19990318 122920 1366.54465 1367.02563 1366.06366 1367.11105 1366.34680
19990318 132920 1366.60834 1367.08606 1366.13062 1367.17153 1366.41375
19990318 142920 1366.58690 1367.05045 1366.12335 1367.13597 1366.40646
19990318 152920 1366.61655 1367.08393 1366.14918 1367.16950 1366.43227
19990318 162920 1366.65023 1367.11443 1366.18602 1367.20005 1366.46910
19990318 172920 1366.60410 1367.07543 1366.13278 1367.16110 1366.41584
19990318 182920 1366.61098 1367.07903 1366.14292 1367.16475 1366.42597
19990318 192920 1366.64196 1367.09845 1366.18548 1367.18422 1366.46851
19990318 202920 1366.67230 1367.11764 1366.22695 1367.20347 1366.50996
19990318 212920 1366.66651 1367.12394 1366.20907 1367.20981 1366.49207
19990318 222920 1366.66730 1367.12094 1366.21366 1367.20687 1366.49663
19990318 232920 1366.66049 1367.11185 1366.20914 1367.19782 1366.49210
19990319 002920 1366.68381 1367.14196 1366.22567 1367.22798 1366.50861
19990319 012920 1366.66396 1367.12060 1366.20732 1367.20667 1366.49025
19990319 022920 1366.70118 1367.15075 1366.25161 1367.23688 1366.53452
19990319 032920 1366.68879 1367.14441 1366.23316 1367.23059 1366.51605
19990319 042920 1366.65598 1367.13021 1366.18176 1367.21644 1366.46463
19990319 052920 1366.63109 1367.13626 1366.12592 1367.22255 1366.40877
19990319 062920 1366.62037 1367.11670 1366.12404 1367.20303 1366.40688
19990319 072920 1366.61510 1367.10865 1366.12154 1367.19504 1366.40436
19990319 082920 1366.61741 1367.09957 1366.13526 1367.18601 1366.41806
19990319 092920 1366.61750 1367.08856 1366.14643 1367.17505 1366.42922
19990319 102920 1366.61612 1367.09731 1366.13494 1367.18385 1366.41771
19990319 112920 1366.63955 1367.11685 1366.16225 1367.20344 1366.44500
19990319 122920 1366.66432 1367.11462 1366.21403 1367.20126 1366.49676
19990319 132920 1366.66960 1367.12717 1366.21203 1367.21386 1366.49474
19990319 142920 1366.65502 1367.10317 1366.20688 1367.18992 1366.48957
19990319 152920 1366.65663 1367.11003 1366.20323 1367.19683 1366.48590
19990319 162920 1366.65501 1367.11208 1366.19793 1367.19893 1366.48059
19990319 172920 1366.63529 1367.09043 1366.18016 1367.17733 1366.46280
19990319 182920 1366.65860 1367.12147 1366.19572 1367.20843 1366.47834
19990319 192920 1366.59641 1367.04188 1366.15095 1367.12889 1366.43355
19990319 202920 1366.60394 1367.07164 1366.13623 1367.15870 1366.41881
19990319 212920 1366.63626 1367.10972 1366.16279 1367.19684 1366.44536
19990319 222920 1366.62753 1367.09467 1366.16038 1367.18184 1366.44293
19990319 232920 1366.62847 1367.07403 1366.18291 1367.16125 1366.46544
19990320 002920 1366.59839 1367.03903 1366.15775 1367.12630 1366.44026
19990320 012920 1366.60078 1367.05819 1366.14338 1367.14551 1366.42587
19990320 022920 1366.58120 1367.04444 1366.11796 1367.13181 1366.40044
19990320 032920 1366.58527 1367.05303 1366.11751 1367.14046 1366.39996
19990320 042920 1366.59686 1367.05179 1366.14193 1367.13927 1366.42437
19990320 052920 1366.60561 1367.06469 1366.14653 1367.15222 1366.42895
19990320 062920 1366.56407 1367.04194 1366.08620 1367.12952 1366.36859
19990320 072920 1366.59083 1367.06879 1366.11288 1367.15643 1366.39526
19990320 082920 1366.56865 1367.05719 1366.08011 1367.14488 1366.36247
19990320 092920 1366.55917 1367.04250 1366.07584 1367.13024 1366.35818
19990320 102920 1366.57578 1367.05849 1366.09307 1367.14628 1366.37539
19990320 112920 1366.59014 1367.06050 1366.11979 1367.14834 1366.40209
19990320 122920 1366.58460 1367.07244 1366.09677 1367.16034 1366.37905
19990320 132920 1366.59594 1367.08190 1366.10998 1367.16985 1366.39225
19990320 142920 1366.58400 1367.06084 1366.10716 1367.14885 1366.38940
19990320 152920 1366.56552 1367.05294 1366.07810 1367.14100 1366.36032
19990320 162920 1366.56778 1367.03802 1366.09754 1367.12613 1366.37974
19990320 172920 1366.54154 1367.02175 1366.06133 1367.10992 1366.34351
19990320 182920 1366.54580 1367.01525 1366.07634 1367.10347 1366.35851
19990320 192920 1366.55753 1367.01739 1366.09767 1367.10567 1366.37981
19990320 202920 1366.60667 1367.06395 1366.14940 1367.15228 1366.43152
19990320 212920 1366.60243 1367.07475 1366.13011 1367.16313 1366.41221
19990320 222920 1366.59232 1367.04800 1366.13664 1367.13644 1366.41872
19990320 232920 1366.61084 1367.06575 1366.15594 1367.15424 1366.43800
19990321 002920 1366.60701 1367.06871 1366.14532 1367.15725 1366.42736
19990321 012920 1366.56417 1367.01147 1366.11686 1367.10006 1366.39889
19990321 022920 1366.57823 1367.00851 1366.14794 1367.09715 1366.42996
19990321 032920 1366.55549 1367.02042 1366.09057 1367.10910 1366.37257
19990321 042920 1366.52262 1367.01409 1366.03116 1367.10281 1366.31315
19990321 052920 1366.46764 1366.96790 1365.96738 1367.05667 1366.24936
19990321 062920 1366.49167 1366.99898 1365.98435 1367.08780 1366.26633
19990321 072920 1366.51579 1367.00739 1366.02419 1367.09625 1366.30615
19990321 082920 1366.50029 1366.98270 1366.01788 1367.07161 1366.29983
19990321 092920 1366.51922 1367.00213 1366.03630 1367.09108 1366.31824
19990321 102920 1366.54462 1367.00733 1366.08192 1367.09632 1366.36385
19990321 112920 1366.54395 1367.01348 1366.07442 1367.10252 1366.35634
19990321 122920 1366.54744 1367.03410 1366.06078 1367.12318 1366.34268
19990321 132920 1366.49635 1366.99585 1365.99686 1367.08497 1366.27875
19990321 142920 1366.49286 1366.99547 1365.99024 1367.08464 1366.27213
19990321 152920 1366.45455 1366.96992 1365.93918 1367.05914 1366.22105
19990321 162920 1366.48324 1366.99604 1365.97045 1367.08529 1366.25231
19990321 172920 1366.45536 1366.96355 1365.94717 1367.05285 1366.22902
19990321 182920 1366.45466 1366.96415 1365.94517 1367.05350 1366.22701
19990321 192920 1366.41881 1366.91671 1365.92092 1367.00610 1366.20275
19990321 202920 1366.44573 1366.96927 1365.92220 1367.05870 1366.20402
19990321 212920 1366.44028 1366.95726 1365.92331 1367.04673 1366.20512
19990321 222920 1366.47913 1367.01558 1365.94268 1367.10509 1366.22448
19990321 232920 1366.46758 1366.97504 1365.96013 1367.06460 1366.24192
19990322 002920 1366.43778 1366.93397 1365.94160 1367.02357 1366.22338
19990322 012920 1366.45880 1366.95677 1365.96082 1367.04641 1366.24260
19990322 022920 1366.47335 1366.94783 1365.99886 1367.03751 1366.28063
19990322 032920 1366.53098 1367.00449 1366.05748 1367.09421 1366.33923
19990322 042920 1366.51592 1366.98585 1366.04599 1367.07561 1366.32774
19990322 052920 1366.48732 1366.97071 1366.00394 1367.06052 1366.28568
19990322 062920 1366.50009 1366.98871 1366.01147 1367.07856 1366.29320
19990322 072920 1366.49864 1366.95954  -99.00000 1367.04943  -99.00000
19990322 082920 1366.55157 1367.01249  -99.00000 1367.10242  -99.00000
19990322 092920 1366.53978 1367.00070  -99.00000 1367.09067  -99.00000
19990322 102920 1366.50156 1366.96247  -99.00000 1367.05248  -99.00000
19990322 112920 1366.52551 1366.98644  -99.00000 1367.07649  -99.00000
19990322 122920 1366.48341 1366.95638 1366.01044 1367.04648 1366.29212
19990322 132920 1366.47733 1366.93525 1366.01940 1367.02539 1366.30108
19990322 142920 1366.50036 1366.93815 1366.06257 1367.02833 1366.34424
19990322 152920 1366.49875 1366.94352 1366.05398 1367.03374 1366.33564
19990322 162920 1366.49150 1366.95057 1366.03243 1367.04082 1366.31408
19990322 172920 1366.49540 1366.94755 1366.04324 1367.03785 1366.32488
19990322 182920 1366.52931 1366.98224 1366.07639 1367.07257 1366.35803
19990322 192920 1366.52008 1366.97008 1366.07008 1367.06045 1366.35172
19990322 202920 1366.47832 1366.94465 1366.01198 1367.03506 1366.29360
19990322 212920 1366.45813 1366.91929 1365.99698 1367.00974 1366.27860
19990322 222920 1366.47537 1366.94142 1366.00933 1367.03191 1366.29094
19990322 232920 1366.47636 1366.93556 1366.01716 1367.02609 1366.29876
19990323 002920 1366.50268 1366.94959 1366.05578 1367.04015 1366.33737
19990323 012920 1366.47961 1366.93394 1366.02527 1367.02455 1366.30687
19990323 022920 1366.47780 1366.93426 1366.02135 1367.02490 1366.30293
19990323 032920 1366.49859 1366.94133 1366.05585 1367.03202 1366.33743
19990323 042920 1366.47745 1366.91353 1366.04136 1367.00425 1366.32294
19990323 052920 1366.46510 1366.92229 1366.00791 1367.01305 1366.28948
19990323 062920 1366.38385 1366.85757 1365.91013 1366.94836 1366.19170
19990323 072920 1366.42007 1366.89958 1365.94057 1366.99041 1366.22213
19990323 082920 1366.42188 1366.91295 1365.93082 1367.00382 1366.21237
19990323 092920 1366.41672 1366.88987 1365.94357 1366.98078 1366.22512
19990323 102920 1366.44192 1366.90996 1365.97389 1367.00091 1366.25543
19990323 112920 1366.43659 1366.89634 1365.97684 1366.98732 1366.25837
19990323 122920 1366.44888 1366.90784 1365.98992 1366.99886 1366.27146
19990323 132920 1366.44294 1366.89511 1365.99076 1366.98617 1366.27229
19990323 142920 1366.44480 1366.91519 1365.97442 1367.00628 1366.25595
19990323 152920 1366.45932 1366.92035  -99.00000 1367.01148  -99.00000
19990323 162920 1366.46163 1366.92267  -99.00000 1367.01383  -99.00000
19990323 172920 1366.42955 1366.89057  -99.00000 1366.98178  -99.00000
19990323 182920 1366.40959 1366.87061  -99.00000 1366.96184  -99.00000
19990323 192920 1366.44330 1366.85546 1366.03115 1366.94673 1366.31266
19990323 202920 1366.43069 1366.85625 1366.00513 1366.94756 1366.28664
19990323 212920 1366.39330 1366.83164 1365.95496 1366.92299 1366.23646
19990323 222920 1366.41136 1366.86921 1365.95351 1366.96059 1366.23501
19990323 232920 1366.36070 1366.81344 1365.90796 1366.90485 1366.18946
19990324 002920 1366.36894 1366.84260 1365.89528 1366.93405 1366.17677
19990324 012920 1366.36705 1366.84687 1365.88723 1366.93836 1366.16871
19990324 022920 1366.35605 1366.83512 1365.87698 1366.92666 1366.15845
19990324 032920 1366.36186 1366.83032 1365.89339 1366.92190 1366.17486
19990324 042920 1366.39025 1366.86242 1365.91807 1366.95404 1366.19953
19990324 052920 1366.36126 1366.82899 1365.89353 1366.92065 1366.17498
19990324 062920 1366.32944 1366.83390 1365.82498 1366.92561 1366.10641
19990324 072920 1366.30119 1366.81820 1365.78419 1366.90994 1366.06562
19990324 082920 1366.30756 1366.83097 1365.78414 1366.92276 1366.06557
19990324 092920 1366.31872 1366.82555 1365.81189 1366.91738 1366.09330
19990324 102920 1366.28616 1366.77744 1365.79488 1366.86932 1366.07629
19990324 112920 1366.27252 1366.76175 1365.78330 1366.85367 1366.06470
19990324 122920 1366.33775 1366.82761 1365.84790 1366.91957 1366.12929
19990324 132920 1366.31866 1366.80022 1365.83709 1366.89223 1366.11847
19990324 142920 1366.30996 1366.76848 1365.85144 1366.86052 1366.13282
19990324 152920 1366.31250 1366.75898 1365.86603 1366.85106 1366.14739
19990324 162920 1366.32775 1366.76398 1365.89151 1366.85611 1366.17287
19990324 172920 1366.33345 1366.76656 1365.90034 1366.85873 1366.18169
19990324 182920 1366.32885 1366.77381 1365.88389 1366.86603 1366.16523
19990324 192920 1366.35568 1366.81748 1365.89388 1366.90974 1366.17521
19990324 202920 1366.35002 1366.81434 1365.88570 1366.90664 1366.16703
19990324 212920 1366.30814 1366.77005 1365.84622 1366.86239 1366.12754
19990324 222920 1366.35291 1366.85450 1365.85132 1366.94689 1366.13263
19990324 232920 1366.32500 1366.80971 1365.84028 1366.90215 1366.12158
19990325 002920 1366.31488 1366.80591 1365.82386 1366.89838 1366.10516
19990325 012920 1366.26989 1366.77774 1365.76203 1366.87026 1366.04332
19990325 022920 1366.29122 1366.79443 1365.78802 1366.88699 1366.06930
19990325 032920 1366.26546 1366.78044 1365.75048 1366.87304 1366.03175
19990325 042920 1366.19064 1366.72684 1365.65443 1366.81949 1365.93570
19990325 052920 1366.21972 1366.75621 1365.68323 1366.84890 1365.96448
19990325 062920 1366.22345 1366.74266 1365.70424 1366.83539 1365.98548
19990325 072920 1366.21601 1366.71953 1365.71248 1366.81231 1365.99372
19990325 082920 1366.25233 1366.75545 1365.74921 1366.84827 1366.03045
19990325 092920 1366.27277 1366.75325 1365.79230 1366.84612 1366.07352
19990325 102920 1366.26659 1366.74456 1365.78862 1366.83747 1366.06983
19990325 112920 1366.26589 1366.73637 1365.79541 1366.82932 1366.07661
19990325 122920 1366.26971 1366.73248 1365.80693 1366.82548 1366.08813
19990325 132920 1366.26329 1366.71663 1365.80995 1366.80967 1366.09114
19990325 142920 1366.30839 1366.76028 1365.85649 1366.85337 1366.13767
19990325 152920 1366.29480 1366.73700 1365.85260 1366.83013 1366.13377
19990325 162920 1366.26109 1366.69171 1365.83048 1366.78488 1366.11165
19990325 172920 1366.25956 1366.69614 1365.82299 1366.78936 1366.10415
19990325 182920 1366.26743 1366.70878 1365.82609 1366.80204 1366.10724
19990325 192920 1366.26421 1366.72289 1365.80553 1366.81619 1366.08667
19990325 202920 1366.21736 1366.67504 1365.75968 1366.76838 1366.04081
19990325 212920 1366.23461 1366.70475 1365.76447 1366.79815 1366.04560
19990325 222920 1366.22153 1366.70366 1365.73939 1366.79710 1366.02050
19990325 232920 1366.25275 1366.73910 1365.76640 1366.83258 1366.04750
19990326 002920 1366.22194 1366.71710 1365.72678 1366.81063 1366.00788
19990326 012920 1366.22261 1366.72403 1365.72118 1366.81760 1366.00227
19990326 022920 1366.24160 1366.73759 1365.74560 1366.83120 1366.02669
19990326 032920 1366.24783 1366.74228 1365.75338 1366.83594 1366.03446
19990326 042920 1366.22496 1366.72455 1365.72538 1366.81825 1366.00645
19990326 052920 1366.16931 1366.70401 1365.63461 1366.79776 1365.91566
19990326 062920 1366.13865 1366.65763 1365.61966 1366.75142 1365.90071
19990326 072920 1366.15892 1366.68266 1365.63518 1366.77649 1365.91622
19990326 082920 1366.14586 1366.65278 1365.63893 1366.74666 1365.91997
19990326 092920 1366.17774 1366.67334 1365.68214 1366.76726 1365.96317
19990326 102920 1366.19923 1366.67920 1365.71926 1366.77317 1366.00028
19990326 112920 1366.19416 1366.67126 1365.71706 1366.76527 1365.99807
19990326 122920 1366.23328 1366.70411 1365.76246 1366.79817 1366.04345
19990326 132920 1366.18674 1366.64758 1365.72590 1366.74168 1366.00689
19990326 142920 1366.23092 1366.68128 1365.78057 1366.77542 1366.06155
19990326 152920 1366.23551 1366.68543 1365.78559 1366.77962 1366.06656
19990326 162920 1366.23235 1366.69484 1365.76987 1366.78908 1366.05083
19990326 172920 1366.22051 1366.70980 1365.73122 1366.80408 1366.01218
19990326 182920 1366.17781 1366.67174 1365.68388 1366.76607 1365.96483
19990326 192920 1366.18487 1366.69716 1365.67258 1366.79153 1365.95352
19990326 202920 1366.18057 1366.68731 1365.67383 1366.78173 1365.95476
19990326 212920 1366.14266 1366.68412 1365.60119 1366.77858 1365.88212
19990326 222920 1366.09151 1366.67064 1365.51238 1366.76515 1365.79329
19990326 232920 1366.12419 1366.68427 1365.56412 1366.77882 1365.84503
19990327 002920 1366.14545 1366.68140 1365.60951 1366.77599 1365.89041
19990327 012920 1366.17532 1366.68628 1365.66437 1366.78092 1365.94526
19990327 022920 1366.18748 1366.66265 1365.71230 1366.75734 1365.99318
19990327 032920 1366.19262 1366.65883 1365.72640 1366.75356 1366.00727
19990327 042920 1366.21067 1366.69109 1365.73026 1366.78586 1366.01112
19990327 052920 1366.21501 1366.68969 1365.74032 1366.78451 1366.02117
19990327 062920 1366.17536 1366.64390 1365.70682 1366.73876 1365.98767
19990327 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990327 082920 1366.23662 1366.69732  -99.00000 1366.79226  -99.00000
19990327 092920 1366.26124 1366.72193  -99.00000 1366.81692  -99.00000
19990327 102920 1366.21957 1366.68024  -99.00000 1366.77527  -99.00000
19990327 112920 1366.18883 1366.67180 1365.70586 1366.76687 1365.98666
19990327 122920 1366.14569 1366.64660 1365.64479 1366.74171 1365.92558
19990327 132920 1366.20405 1366.70081 1365.70729 1366.79596 1365.98808
19990327 142920 1366.17011 1366.66788 1365.67234 1366.76308 1365.95312
19990327 152920 1366.21708 1366.69588 1365.73828 1366.79112 1366.01905
19990327 162920 1366.23631 1366.68970 1365.78292 1366.78499 1366.06368
19990327 172920 1366.24087 1366.68535 1365.79638 1366.78068 1366.07713
19990327 182920 1366.24894 1366.70141 1365.79648 1366.79678 1366.07722
19990327 192920 1366.25055 1366.69683 1365.80427 1366.79224 1366.08500
19990327 202920 1366.22914 1366.68128 1365.77701 1366.77673 1366.05773
19990327 212920 1366.18131 1366.65203 1365.71058 1366.74753 1365.99130
19990327 222920 1366.15385 1366.63281 1365.67490 1366.72835 1365.95561
19990327 232920 1366.15830 1366.64426 1365.67233 1366.73984 1365.95303
19990328 002920 1366.19329 1366.65482 1365.73176 1366.75045 1366.01244
19990328 012920 1366.22858 1366.68816 1365.76899 1366.78383 1366.04967
