19960124 052920 1365.57937  -99.00000 1365.05365  -99.00000 1365.25924
19960124 062920 1365.58208  -99.00000 1365.05634  -99.00000 1365.26198
19960124 072920 1365.57486  -99.00000 1365.04909  -99.00000 1365.25479
19960124 082920 1365.57317  -99.00000 1365.04737  -99.00000 1365.25313
19960124 092920 1365.54536  -99.00000 1365.01953  -99.00000 1365.22535
19960124 102920 1365.54623  -99.00000 1365.02036  -99.00000 1365.22624
19960124 112920 1365.57843  -99.00000 1365.05251  -99.00000 1365.25846
19960124 122920 1365.55139  -99.00000 1365.02546  -99.00000 1365.23146
19960124 132920 1365.55373  -99.00000 1365.02777  -99.00000 1365.23383
19960124 142920 1365.55215  -99.00000 1365.02617  -99.00000 1365.23229
19960124 152920 1365.55377  -99.00000 1365.02776  -99.00000 1365.23395
19960124 162920 1365.55393  -99.00000 1365.02790  -99.00000 1365.23415
19960124 172920 1365.54698  -99.00000 1365.02093  -99.00000 1365.22724
19960124 182920 1365.53034  -99.00000 1365.00427  -99.00000 1365.21064
19960124 192920 1365.55267  -99.00000 1365.02657  -99.00000 1365.23301
19960124 202920 1365.56515  -99.00000 1365.03902  -99.00000 1365.24552
19960124 212920 1365.54724  -99.00000 1365.02109  -99.00000 1365.22766
19960124 222920 1365.56566  -99.00000 1365.03948  -99.00000 1365.24611
19960124 232920 1365.57074  -99.00000 1365.04454  -99.00000 1365.25124
19960125 002920 1365.57385  -99.00000 1365.04762  -99.00000 1365.25438
19960125 012920 1365.60815  -99.00000 1365.08188  -99.00000 1365.28871
19960125 022920 1365.63743  -99.00000 1365.11113  -99.00000 1365.31802
19960125 032920 1365.59110  -99.00000 1365.06479  -99.00000 1365.27175
19960125 042920 1365.56604  -99.00000 1365.03972  -99.00000 1365.24674
19960125 052920 1365.57260  -99.00000 1365.04626  -99.00000 1365.25335
19960125 062920 1365.57718  -99.00000 1365.05081  -99.00000 1365.25797
19960125 072920 1365.60451  -99.00000 1365.07810  -99.00000 1365.28533
19960125 082920 1365.60988  -99.00000 1365.08345  -99.00000 1365.29075
19960125 092920 1365.62678  -99.00000 1365.10032  -99.00000 1365.30769
19960125 102920 1365.58165  -99.00000 1365.05518  -99.00000 1365.26262
19960125 112920 1365.55408  -99.00000 1365.02760  -99.00000 1365.23511
19960125 122920 1365.56486  -99.00000 1365.03836  -99.00000 1365.24595
19960125 132920 1365.58567  -99.00000 1365.05914  -99.00000 1365.26681
19960125 142920 1365.63013  -99.00000 1365.10357  -99.00000 1365.31131
19960125 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960125 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960126 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960126 012920 1365.54871  -99.00000 1365.02201  -99.00000 1365.23061
19960126 022920 1365.54299  -99.00000 1365.01627  -99.00000 1365.22496
19960126 032920 1365.54832  -99.00000 1365.02159  -99.00000 1365.23036
